pca_dim,lda_dim,val_bal_acc
5,1,0.07112740732922622
5,2,0.11150155851737702
5,3,0.16091586436976335
5,4,0.2020699392250766
5,5,0.22331181107477546
5,6,0.22331181107477546
5,7,0.22331181107477546
5,8,0.22331181107477546
5,9,0.22331181107477546
5,10,0.22331181107477546
5,11,0.22331181107477546
5,12,0.22331181107477546
5,13,0.22331181107477546
5,14,0.22331181107477546
5,15,0.22331181107477546
5,16,0.22331181107477546
5,17,0.22331181107477546
5,18,0.22331181107477546
5,19,0.22331181107477546
5,20,0.22331181107477546
15,1,0.07662292176741672
15,2,0.12958068664579886
15,3,0.19569830781068204
15,4,0.24985082043823334
15,5,0.29931264018739834
15,6,0.3429955438850079
15,7,0.37650781441246806
15,8,0.39931511999531544
15,9,0.4262864385374544
15,10,0.44185871431701534
15,11,0.4500947172237807
15,12,0.46301016480795887
15,13,0.4704044320366883
15,14,0.47779842387359805
15,15,0.4806640375287337
15,16,0.4806640375287337
15,17,0.4806640375287337
15,18,0.4806640375287337
15,19,0.4806640375287337
15,20,0.4806640375287337
25,1,0.07501743490714079
25,2,0.1303295387497206
25,3,0.19202699616989477
25,4,0.2517544140299558
25,5,0.2968739531953541
25,6,0.3366030756649468
25,7,0.3725367084809325
25,8,0.397573805834545
25,9,0.41878782018778143
25,10,0.43788555275885965
25,11,0.4520287995708855
25,12,0.46890504333378746
25,13,0.4905396707122713
25,14,0.49841319875264345
25,15,0.5065989626397424
25,16,0.5080283442603005
25,17,0.5102908675968855
25,18,0.5115086364479747
25,19,0.5124444028838379
25,20,0.5077900580975755
