,space,seed,hier_ratio,hier_pval
0,Raw,0,4.798243565037493,0.0
1,Trait_LDA,0,17.431870226618912,0.0
2,State_LDA,0,5.837131165571947,0.0
3,Joint_LDA,0,10.557785884484044,0.0
4,Raw,1,5.186579219302569,0.0
5,Trait_LDA,1,23.789230374126657,0.0
6,State_LDA,1,8.05290041886608,0.0
7,Joint_LDA,1,12.106390663382035,0.0
8,Raw,2,8.771449856709959,0.0
9,Trait_LDA,2,15.741543166307123,0.0
10,State_LDA,2,7.38194913690474,0.0
11,Joint_LDA,2,11.656443749957093,0.0
12,Raw,3,5.711886737098468,0.0
13,Trait_LDA,3,14.274967582610085,0.0
14,State_LDA,3,6.895714556326899,0.0
15,Joint_LDA,3,8.901644013238196,0.0
16,Raw,4,8.135915030503106,0.0
17,Trait_LDA,4,15.900617708459897,0.0
18,State_LDA,4,7.879522492767689,0.0
19,Joint_LDA,4,11.984073448465264,0.0
20,Raw,5,7.729043032456834,0.0
21,Trait_LDA,5,11.190622008532692,0.0
22,State_LDA,5,6.047665029734269,0.0
23,Joint_LDA,5,8.532699140867912,0.0
24,Raw,6,7.308632880624067,0.0
25,Trait_LDA,6,13.758332332527123,0.0
26,State_LDA,6,10.648186356504967,0.0
27,Joint_LDA,6,7.963589095520361,0.0
28,Raw,7,3.1662060122483435,0.0
29,Trait_LDA,7,5.029598885959229,0.0
30,State_LDA,7,3.077842251356161,0.0
31,Joint_LDA,7,4.36175232470632,0.0
32,Raw,8,2.964649420488893,0.0
33,Trait_LDA,8,5.433920756246212,0.0
34,State_LDA,8,3.729003976188995,0.0
35,Joint_LDA,8,3.3113597049985772,0.0
36,Raw,9,4.365984152523098,0.0
37,Trait_LDA,9,12.00199159263712,0.0
38,State_LDA,9,5.229859287062837,0.0
39,Joint_LDA,9,6.433895712268868,0.0
