pca_dim,lda_dim,val_bal_acc
5,1,0.0031965648854961836
5,2,0.015055131467345209
5,3,0.034939567430025444
5,4,0.06207061068702291
5,5,0.0914440203562341
5,6,0.0914440203562341
5,7,0.0914440203562341
5,8,0.0914440203562341
5,9,0.0914440203562341
5,10,0.0914440203562341
5,11,0.0914440203562341
5,12,0.0914440203562341
5,13,0.0914440203562341
5,14,0.0914440203562341
5,15,0.0914440203562341
5,16,0.0914440203562341
5,17,0.0914440203562341
5,18,0.0914440203562341
5,19,0.0914440203562341
5,20,0.0914440203562341
15,1,0.003689567430025445
15,2,0.014053223070398644
15,3,0.03668363019508058
15,4,0.07269932145886344
15,5,0.10532230703986428
15,6,0.1459976675148431
15,7,0.18295165394402035
15,8,0.22019189991518237
15,9,0.24759860050890584
15,10,0.2738178541136556
15,11,0.29001272264631045
15,12,0.3044635284139101
15,13,0.31620016963528413
15,14,0.3196882951653944
15,15,0.3312553011026293
15,16,0.3312553011026293
15,17,0.3312553011026293
15,18,0.3312553011026293
15,19,0.3312553011026293
15,20,0.3312553011026293
25,1,0.004256785411365563
25,2,0.01494910941475827
25,3,0.036317854113655644
25,4,0.0708863443596268
25,5,0.10917620865139949
25,6,0.14839376590330788
25,7,0.18498197625106025
25,8,0.2156117472434266
25,9,0.24765161153519932
25,10,0.2723229431721798
25,11,0.2933259117896523
25,12,0.31340118744698897
25,13,0.3299194232400339
25,14,0.3431350720949958
25,15,0.35540712468193386
25,16,0.36137086513994915
25,17,0.372508481764207
25,18,0.3809584393553859
25,19,0.391274385072095
25,20,0.3999734944868532
