,space,seed,hier_ratio,hier_pval
0,Raw,0,1.6590482215983984,0.0
1,Trait_LDA,0,2.307529243648553,0.0
2,State_LDA,0,1.209466544802784,0.0
3,Joint_LDA,0,2.0046375295446133,0.0
4,Raw,1,2.3240983185188075,0.0
5,Trait_LDA,1,2.6240362576538114,0.0
6,State_LDA,1,1.0369769788502352,0.0
7,Joint_LDA,1,2.702663397351818,0.0
8,Raw,2,1.5966216688191972,0.0
9,Trait_LDA,2,1.8518021674329395,0.0
10,State_LDA,2,1.276263228634247,0.0
11,Joint_LDA,2,1.6952694049919028,0.0
12,Raw,3,2.1063232177287285,0.0
13,Trait_LDA,3,2.1627815127162986,0.0
14,State_LDA,3,0.9490706594292989,0.0
15,Joint_LDA,3,2.070766445525966,0.0
16,Raw,4,1.94373400357794,0.0
17,Trait_LDA,4,2.4756000035181307,0.0
18,State_LDA,4,1.1841770026992788,0.0
19,Joint_LDA,4,2.359035137826146,0.0
20,Raw,5,2.0039930928143597,0.0
21,Trait_LDA,5,2.5576557032093903,0.0
22,State_LDA,5,0.8523567849322286,0.0
23,Joint_LDA,5,2.1392798548941574,0.0
24,Raw,6,1.9036213116238698,0.0
25,Trait_LDA,6,2.4794724363823883,0.0
26,State_LDA,6,1.430362077119517,0.0
27,Joint_LDA,6,2.463695922793927,0.0
28,Raw,7,1.2054911221385758,0.0
29,Trait_LDA,7,1.350317211410838,0.0
30,State_LDA,7,0.8292961165199437,0.0
31,Joint_LDA,7,1.179283697702477,0.0
32,Raw,8,1.335690484194732,0.0
33,Trait_LDA,8,1.6494461429361105,0.0
34,State_LDA,8,1.168046760329944,0.0
35,Joint_LDA,8,1.5660908813025989,0.0
36,Raw,9,1.5538558897314267,0.0
37,Trait_LDA,9,2.293780127839808,0.0
38,State_LDA,9,1.418864783575422,0.0
39,Joint_LDA,9,2.2624366420573137,0.0
