,,subject,subject,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
num_subjects,space,,,,,,,,,,,,,,
10,Joint_LDA,7.7,0.5011098792790973,0.1429375,0.05675013001698273,0.25206249999999997,0.004921695874165484,0.248375,0.007570272635630611,0.08818854519919808,0.03137140710316239,0.1605097016810407,0.011028993977359656,0.17441230026879975,0.018341760223754906
10,Raw,7.7,0.5011098792790973,0.12137500000000001,0.035171701851219976,0.25193750000000004,0.007116649590143443,0.2543125,0.010088368233322518,0.06814612101748158,0.0178354234959271,0.17784122129775906,0.01009316974058774,0.21214793032287282,0.025057095279560786
10,State_LDA,7.7,0.5011098792790973,0.1125,0.010933034802834937,0.254125,0.010517016634430554,0.25525,0.01008729261111339,0.06722661796732894,0.01523463003707829,0.20738644026979536,0.021482031338668377,0.21630570592676723,0.02421240854432496
10,Trait_LDA,7.7,0.5011098792790973,0.143875,0.05509839683088186,0.2518125,0.004540041758251419,0.2505,0.005549649638590814,0.08938613677042674,0.03135878953333993,0.15447222914436426,0.014019962618808475,0.15931305248839261,0.02113231005676715
