,subject,subject,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,,,,,,,
Joint_LDA,7.2,0.8030553898602967,0.10544642857142858,0.05958991864564855,0.25241071428571427,0.009037529618760731,0.25,0.014035507288751905,0.062464071380773055,0.02116937157235943,0.1546338707512366,0.016438050751637356,0.2187388989446628,0.012853785022179922
Raw,7.2,0.8030553898602967,0.07669642857142858,0.046494249181120245,0.2501785714285714,0.00829925002758733,0.2467857142857143,0.012508500511013047,0.0425462050243001,0.02960666070114679,0.16028092163597657,0.018875265693524646,0.23168308333297566,0.011334110209881974
State_LDA,7.2,0.8030553898602967,0.115625,0.04607090946551404,0.2501785714285714,0.013093885211501302,0.25357142857142856,0.014999527581374001,0.08675281061120751,0.027342138041302172,0.19919550078110965,0.02719918384186681,0.22077242533904476,0.016724033153468702
Trait_LDA,7.2,0.8030553898602967,0.12901785714285713,0.0353935248523501,0.25035714285714283,0.004709533439250585,0.24928571428571428,0.0072998617698837465,0.07213846904984295,0.013015815154969551,0.12442549642916204,0.010107828580276776,0.1649115758633452,0.012070927610747762
