num_subjects,seed,split_type,space,hier_ratio,inter,intra,hier_pval
10,0,between_state,Raw,4.5121832698676085,10.867160823862704,2.408404130309529,0.0
10,0,between_state,Trait_LDA,3.1850898931356166,6.85038866494965,2.1507677631684254,0.0
10,0,between_state,State_LDA,2.8679255400162345,3.4940432796506937,1.2183172927254293,0.0
10,0,between_state,Joint_LDA,3.2114883963857115,7.494897257016544,2.333776844858442,0.0
10,1,between_state,Raw,6.704636694021789,12.365753090531378,1.8443584126724333,0.0
10,1,between_state,Trait_LDA,4.308408903838578,8.096601694265507,1.8792556312498188,0.0
10,1,between_state,State_LDA,3.631011298809719,4.769344420566606,1.313503051375809,0.0
10,1,between_state,Joint_LDA,4.401083104938225,9.195602039423239,2.089395228439412,0.0
10,2,between_state,Raw,4.984261365048715,10.886534281788924,2.1841820651960377,0.0
10,2,between_state,Trait_LDA,4.003543257262415,6.758391171083531,1.68810244745672,0.0
10,2,between_state,State_LDA,3.67833586587458,4.8306920538515845,1.3132819378099434,0.0
10,2,between_state,Joint_LDA,3.989433175660767,7.283023602445438,1.8255785425555238,0.0
10,3,between_state,Raw,3.2658407625376795,9.434720067411385,2.8889100092192668,0.0
10,3,between_state,Trait_LDA,3.700538608256722,6.867898149008052,1.855918523234496,0.0
10,3,between_state,State_LDA,3.1372054732457415,4.648323474457856,1.481676451892938,0.0
10,3,between_state,Joint_LDA,3.36793985966449,6.933945929924206,2.0588093074247937,0.0
10,4,between_state,Raw,4.422931461570647,10.538203829763601,2.3826287884690243,0.0
10,4,between_state,Trait_LDA,3.5839822285160516,6.354531851982259,1.7730366521971717,0.0
10,4,between_state,State_LDA,3.5238883748100727,4.89046703389496,1.3878041849604676,0.0
10,4,between_state,Joint_LDA,3.530236026442279,6.799008473134918,1.9259359493837755,0.0
10,5,between_state,Raw,4.766633021482667,11.520849147723474,2.4169784197357616,0.0
10,5,between_state,Trait_LDA,3.255083897845309,5.834953201367285,1.7925661471367023,0.0
10,5,between_state,State_LDA,2.8012986194237985,3.4275271143783868,1.2235493533650468,0.0
10,5,between_state,Joint_LDA,3.669018134338386,6.977103228046104,1.9016268038435975,0.0
10,6,between_state,Raw,7.735899812656994,12.883614299624812,1.6654318969521102,0.0
10,6,between_state,Trait_LDA,4.465002130027667,7.205464566390715,1.613765090487441,0.0
10,6,between_state,State_LDA,5.284812561757456,6.549011242455817,1.2392135323486202,0.0
10,6,between_state,Joint_LDA,5.285909350583561,9.347651700625665,1.7684093843935653,0.0
10,7,between_state,Raw,6.2915223483318,12.026120935951278,1.9114802857117734,0.0
