,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,3.837981683146297,0.14366840446136905,8.563994484344878,0.2353865085794374,2.232456501004525,0.04695234678684686,0.0,0.0
Raw,4.565144089290218,0.2622547656677065,9.069866916244488,0.06396433788669938,1.9920586631216597,0.1028447385756117,0.0,0.0
State_LDA,3.196924982583989,0.13861847703360686,2.8666993030853676,0.07022518781132815,0.8976351841183169,0.02795253008317446,0.0,0.0
Trait_LDA,3.825519145928608,0.18515484752402586,7.159691133290297,0.2654894313581461,1.8728731246303383,0.04896386196696373,0.0,0.0
