,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,2.850738784794453,0.32180618396420957,8.806582879003418,0.9190543286690428,3.0940713802458664,0.12870161445908468,0.0,0.0
Raw,3.3479224184320757,0.8821322020852017,10.181120025521684,0.22036649406658598,3.224723158677518,0.8044529071986658,0.0,0.0
State_LDA,2.3107752406978443,0.2361532971062873,5.251508857229725,0.4189648788645234,2.2783142157989826,0.10135643884780612,0.0,0.0
Trait_LDA,2.740422066102801,0.2677965608192261,7.833574891601198,0.712781327302896,2.86191500217132,0.11797628460553568,0.0,0.0
