,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,3.2387040161696232,0.3185198148038374,2.783534230079085,0.2871826065243252,0.8593413215820311,0.023110221895825057,0.0,0.0
Raw,3.1421699210578242,0.1714143888207211,9.416790631764247,0.04745801707890973,3.0046393156224944,0.15828297102960337,0.0,0.0
State_LDA,2.2585922307136586,0.0705923416019477,4.092307543354876,0.09248075400628218,1.8125349783279208,0.03233880319858065,0.0,0.0
Trait_LDA,2.771726884746442,0.11644691499478499,7.468350801735381,0.248706495620608,2.6956525170898193,0.05119754919038217,0.0,0.0
