,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,3.991568792896036,0.2799932470115265,6.457314802207897,0.629622087250191,1.6159849503947619,0.07528328631445601,0.0,0.0
Raw,6.213668761609388,0.7891059268720725,10.190034590906702,0.32503405651238304,1.660505118124777,0.18708769831617542,0.0,0.0
State_LDA,2.7736493413787633,0.30567113048857003,2.671401483814856,0.34022311612940465,0.9623901062138269,0.050348239905559866,0.0,0.0
Trait_LDA,4.006575175701751,0.5045510094492631,6.008200997657528,0.9190339057427916,1.4975474334076613,0.07715469035797862,0.0,0.0
