pca_dim,lda_dim,val_bal_acc
5,1,0.18571961418627286
5,2,0.296671745814809
5,3,0.36538100777448707
5,4,0.38620784998010477
5,5,0.39722546202622155
5,6,0.39722546202622155
5,7,0.39722546202622155
5,8,0.39722546202622155
5,9,0.39722546202622155
5,10,0.39722546202622155
5,11,0.39722546202622155
5,12,0.39722546202622155
5,13,0.39722546202622155
5,14,0.39722546202622155
5,15,0.39722546202622155
5,16,0.39722546202622155
5,17,0.39722546202622155
5,18,0.39722546202622155
5,19,0.39722546202622155
5,20,0.39722546202622155
15,1,0.21046247337251395
15,2,0.30817813790302695
15,3,0.4003977366537118
15,4,0.5160277738283963
15,5,0.5624400754497955
15,6,0.5863133532817646
15,7,0.5965446465405504
15,8,0.600793516545732
15,9,0.6031834979729449
15,10,0.6076942262870711
15,11,0.6117291238623648
15,12,0.6170917867218187
15,13,0.620522714069305
15,14,0.6240340141252833
15,15,0.6278260998062123
15,16,0.6278260998062123
15,17,0.6278260998062123
15,18,0.6278260998062123
15,19,0.6278260998062123
15,20,0.6278260998062123
25,1,0.1937255267226004
25,2,0.2993631552996235
25,3,0.3821101442709488
25,4,0.5263139275914922
25,5,0.6075328674420087
25,6,0.6538777063053921
25,7,0.6786522867039567
25,8,0.6902262811506781
25,9,0.6998076705136438
25,10,0.7045968794796095
25,11,0.7058799615104763
25,12,0.7079572767340879
25,13,0.7098551909579006
25,14,0.7128810069595388
25,15,0.7123442236749953
25,16,0.7123442236749953
25,17,0.7123442236749953
25,18,0.7123442236749953
25,19,0.7123442236749953
25,20,0.7123442236749953
