,subject,subject,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,,,,,,,
Joint_LDA,28.660000000000004,5.581158780516224,0.0,0.0,0.5079,0.010936178491593843,0.5065000000000001,0.013597385369580776,0.0,0.0,0.44772843435097753,0.01592370619939624,0.45355905729607365,0.024266240815669745
Raw,28.660000000000004,5.581158780516224,0.0,0.0,0.5121,0.009904544411531518,0.50685,0.011642952088423832,0.0,0.0,0.45257898104187955,0.01944487666898821,0.4578356164430071,0.01720189005292196
State_LDA,28.660000000000004,5.581158780516224,0.0,0.0,0.50415,0.008256478937443289,0.5059,0.009611335899747685,0.0,0.0,0.4454227815089545,0.02218172031969019,0.45461812679413977,0.02340133837815461
Trait_LDA,28.660000000000004,5.581158780516224,0.0,0.0,0.50925,0.008583737854545404,0.5021500000000001,0.01064072365960139,0.0,0.0,0.4285077034780273,0.019221190969809857,0.3941499456851489,0.027109336010229926
