num_subjects,seed,split_type,subject,space,Bal_Acc,F1,Kappa
10,0,trait,,Raw,0.9707074504442925,0.9685261984716378,0.965864695568667
10,0,trait,,Trait_LDA,0.9194788592157013,0.9160129805531569,0.9118030138760541
10,0,trait,,State_LDA,0.37767692999669994,0.3184692252300625,0.2974504249291785
10,0,trait,,Joint_LDA,0.9272386432912748,0.925185096054653,0.9203213927017074
10,1,trait,,Raw,0.9644665687192931,0.9650254732272276,0.9595173525134615
10,1,trait,,Trait_LDA,0.9561683078666198,0.9569832352499178,0.9514192318526331
10,1,trait,,State_LDA,0.32142358155698003,0.28242089034690504,0.2375259943237551
10,1,trait,,Joint_LDA,0.9626105277701023,0.9629148271845379,0.9568196407750456
10,2,trait,,Raw,0.9627193538169149,0.9620000138170155,0.9569289732174865
10,2,trait,,Trait_LDA,0.9605058933364454,0.9596666019972675,0.9542364374686316
10,2,trait,,State_LDA,0.41192301224477373,0.3583410173361747,0.34611450277233013
10,2,trait,,Joint_LDA,0.9648850507643832,0.9641141551777425,0.9596209123913936
10,3,trait,,Raw,0.9830325914149445,0.9834098492101099,0.9827574684221079
10,3,trait,,Trait_LDA,0.9640016062229684,0.9645851873445459,0.9626378522891834
10,3,trait,,State_LDA,0.46490422589964925,0.400759119362433,0.4158903172561469
10,3,trait,,Joint_LDA,0.9750866618668477,0.9761406926406926,0.9741327451373571
10,4,trait,,Raw,0.934905796552138,0.933590058222924,0.9283275153158518
10,4,trait,,Trait_LDA,0.9241062438013659,0.9240231340483707,0.9176916398937957
10,4,trait,,State_LDA,0.31481719951232146,0.29807451357419545,0.24945690148002286
10,4,trait,,Joint_LDA,0.9232032014958843,0.92282364101091,0.9176905967415894
10,5,trait,,Raw,0.9802870813397128,0.9796757164404223,0.9779797511820895
10,5,trait,,Trait_LDA,0.967395718316771,0.9670145932513746,0.9642139260430224
10,5,trait,,State_LDA,0.4049567473604701,0.35128737242045777,0.3305307480729396
10,5,trait,,Joint_LDA,0.9830471122801032,0.9824522597424175,0.9807321510087005
10,6,trait,,Raw,0.9845537791682222,0.9847309457216369,0.9834924612849185
10,6,trait,,Trait_LDA,0.9765879185707828,0.9770924375566594,0.975236162286228
10,6,trait,,State_LDA,0.568415733781289,0.5341537110382035,0.528887070376432
10,6,trait,,Joint_LDA,0.972564503653855,0.9724165022400216,0.9697388580572673
10,7,trait,,Raw,0.9448602328301037,0.9451223593952776,0.9398218585208054
10,7,trait,,Trait_LDA,0.9524291273502177,0.9525230117265988,0.9484175929687212
10,7,trait,,State_LDA,0.40533734344389033,0.3484284747785439,0.3405943813084664
10,7,trait,,Joint_LDA,0.9352908602119505,0.9349823638471138,0.9283715228804986
10,8,trait,,Raw,0.970551897731113,0.9703360087929693,0.9681426341154377
10,8,trait,,Trait_LDA,0.9752899133386939,0.9748297131250718,0.9739366515837105
10,8,trait,,State_LDA,0.3480981685747452,0.30338150050976626,0.26845576940453597
10,8,trait,,Joint_LDA,0.9723487368681056,0.9729719775517038,0.9710341706268386
10,9,trait,,Raw,0.9683366420873512,0.9683032247254137,0.964243162832497
10,9,trait,,Trait_LDA,0.9610195689166193,0.960645611742701,0.9559933826683097
10,9,trait,,State_LDA,0.5022504426343576,0.4793569926751296,0.44448831225409435
10,9,trait,,Joint_LDA,0.9535572741684483,0.9532778221512711,0.947739651416122
20,0,trait,,Raw,0.9161962146220812,0.9151509982353184,0.9111478572412843
20,0,trait,,Trait_LDA,0.8043210984626261,0.8021492925555744,0.7896952861898294
20,0,trait,,State_LDA,0.38295640379241147,0.34900680620271973,0.35937114753247434
20,0,trait,,Joint_LDA,0.8233216475498246,0.8161889696974063,0.8118873502411701
20,1,trait,,Raw,0.9341439101240395,0.9340081587996625,0.9307631964524201
20,1,trait,,Trait_LDA,0.8218220324752495,0.8171368345311769,0.8106196869966522
20,1,trait,,State_LDA,0.4171538369908462,0.39069767498256386,0.39221206332320324
20,1,trait,,Joint_LDA,0.8366794798227639,0.8339913203895712,0.8288536537133632
20,2,trait,,Raw,0.906534368318626,0.9058007631602667,0.901585153448999
20,2,trait,,Trait_LDA,0.8560706984288091,0.851215992317331,0.8476776156704633
20,2,trait,,State_LDA,0.4480105486993791,0.3861863178804219,0.41914949423137315
20,2,trait,,Joint_LDA,0.8206861909731131,0.8188563513483602,0.8126176975722583
20,3,trait,,Raw,0.9127143529464099,0.9111286535614049,0.9077763095564586
20,3,trait,,Trait_LDA,0.819299019736792,0.8163443100525068,0.8116944136663908
20,3,trait,,State_LDA,0.3436367753442335,0.28759140503133807,0.30173379468286377
20,3,trait,,Joint_LDA,0.8191351808681914,0.812106348044528,0.8104326254838288
20,4,trait,,Raw,0.9605541549936945,0.9602205534670751,0.9585813765401852
20,4,trait,,Trait_LDA,0.8973954430671451,0.8955167285317316,0.8917716399916575
20,4,trait,,State_LDA,0.4719220335274385,0.43280246977482467,0.44436308409947656
20,4,trait,,Joint_LDA,0.8272114178183753,0.8152810766543059,0.8169955026961786
20,5,trait,,Raw,0.9227060621813509,0.9212170134928627,0.9159939943396128
20,5,trait,,Trait_LDA,0.8273229699469977,0.8240104945440733,0.8184199511684688
20,5,trait,,State_LDA,0.4370127595044533,0.3732360823618132,0.40012443273312837
20,5,trait,,Joint_LDA,0.8579451165927041,0.8542750347017114,0.8469090985175809
20,6,trait,,Raw,0.9190919259391281,0.9185541631010887,0.9141401501905142
20,6,trait,,Trait_LDA,0.8523794055985592,0.8528161670522211,0.8428075630307812
20,6,trait,,State_LDA,0.4212154627254113,0.3777945214020593,0.399948923072841
20,6,trait,,Joint_LDA,0.7904064537170705,0.7782297754788223,0.7741798117709437
20,7,trait,,Raw,0.9432256481689683,0.9433574422925523,0.9409752919826905
20,7,trait,,Trait_LDA,0.8635358714730375,0.8614814088638931,0.8586157403430403
20,7,trait,,State_LDA,0.5193654607199718,0.4622529943221717,0.49496135127397645
20,7,trait,,Joint_LDA,0.8483289902950665,0.8451933444160021,0.8421398325560085
20,8,trait,,Raw,0.925260122883716,0.9236917329147986,0.9189125228054333
20,8,trait,,Trait_LDA,0.8964207311940691,0.89465701824285,0.8896793390426994
20,8,trait,,State_LDA,0.3719061592692067,0.331767539454738,0.33572205000201305
20,8,trait,,Joint_LDA,0.8521884074913076,0.8432846829366326,0.8418344571576252
20,9,trait,,Raw,0.9001028807132755,0.8970512498828812,0.8959264477263894
20,9,trait,,Trait_LDA,0.8257321700435352,0.8179554909337353,0.8148639013837979
20,9,trait,,State_LDA,0.40328964982603194,0.3479313586853847,0.3753831201513389
20,9,trait,,Joint_LDA,0.7318225774611092,0.7051470726758725,0.7135800927515721
40,0,trait,,Raw,0.886798249931861,0.8869379152419755,0.8836103698236051
40,0,trait,,Trait_LDA,0.7086999407417869,0.6990064758429213,0.6973202687812792
40,0,trait,,State_LDA,0.43624870804111016,0.4116636704303385,0.42007420875272206
