pca_dim,lda_dim,val_bal_acc
5,1,0.06612872017187033
5,2,0.10103142415182856
5,3,0.12823997215589705
5,4,0.14756169159966565
5,5,0.16604830130739573
5,6,0.16604830130739573
5,7,0.16604830130739573
5,8,0.16604830130739573
5,9,0.16604830130739573
5,10,0.16604830130739573
5,11,0.16604830130739573
5,12,0.16604830130739573
5,13,0.16604830130739573
5,14,0.16604830130739573
5,15,0.16604830130739573
5,16,0.16604830130739573
5,17,0.16604830130739573
5,18,0.16604830130739573
5,19,0.16604830130739573
5,20,0.16604830130739573
15,1,0.06990256527814577
15,2,0.11401365867319815
15,3,0.15367200152000848
15,4,0.18852096239673638
15,5,0.219812574195169
15,6,0.24540116844441537
15,7,0.2643885951133919
15,8,0.2809515513117487
15,9,0.2959537062990043
15,10,0.3093385146719609
15,11,0.31855840404113434
15,12,0.3262150652137107
15,13,0.3313841483289529
15,14,0.33524102016154067
15,15,0.34749275828445725
15,16,0.34749275828445725
15,17,0.34749275828445725
15,18,0.34749275828445725
15,19,0.34749275828445725
15,20,0.34749275828445725
25,1,0.06751614049292068
25,2,0.11226614657487335
25,3,0.1593424854639541
25,4,0.2001720474335606
25,5,0.23789990726078186
25,6,0.26735340463629936
25,7,0.28767476390604296
25,8,0.30541369691611564
25,9,0.3246665111580456
25,10,0.3366531037564803
25,11,0.34010603229222613
25,12,0.3497594638960254
25,13,0.3568413881887663
25,14,0.3629260381538826
25,15,0.3675836123174068
25,16,0.3719610403750303
25,17,0.375797683964141
25,18,0.38498486131458265
25,19,0.3867713163438299
25,20,0.38525845289936816
