pair,mean,std,count
baseline_eyes_closed-task3_real_both_feet,3.7643242910621235,10.97368472312605,108
baseline_eyes_closed-task3_real_both_fists,3.29516921506316,9.287146834422261,108
baseline_eyes_open-task3_real_both_feet,3.0156680888952603,4.701550279123486,108
baseline_eyes_closed-task2_imag_right_fist,2.837517395265747,9.532260030764707,108
baseline_eyes_closed-task4_imag_both_feet,2.820157096751149,9.488126646377625,108
baseline_eyes_open-task4_imag_both_feet,2.7179328425843456,8.541954868468364,108
baseline_eyes_closed-task4_imag_both_fists,2.7051892296604496,8.126981221623792,108
baseline_eyes_closed-task2_imag_left_fist,2.652614744510472,7.892252803822786,108
baseline_eyes_closed-task1_real_right_fist,2.544094085073765,4.672195308349599,108
baseline_eyes_closed-task1_real_left_fist,2.500354181437658,5.39002392769283,108
baseline_eyes_open-task4_imag_both_fists,2.372551417867962,5.342652595105432,108
baseline_eyes_open-task3_real_both_fists,2.214579782099362,2.0082901100185793,108
task2_imag_right_fist-task3_real_both_feet,1.9437881598566862,3.6305324761040447,109
task3_real_both_fists-task4_imag_both_feet,1.9437564698758951,8.237517750639183,109
baseline_eyes_open-task1_real_right_fist,1.934321963369183,1.1291408703810952,108
baseline_eyes_closed-baseline_eyes_open,1.9217398222268425,2.592144953723371,108
baseline_eyes_open-task1_real_left_fist,1.8611018659362064,1.0512163864862942,108
task2_imag_left_fist-task3_real_both_feet,1.8552606686217918,2.6736483092333025,109
baseline_eyes_open-task2_imag_right_fist,1.844129463065374,1.2403633851623885,108
baseline_eyes_open-task2_imag_left_fist,1.7949768925651117,1.114621487981076,108
task1_real_left_fist-task3_real_both_feet,1.7605453168906107,2.742595130062218,109
task3_real_both_fists-task4_imag_both_fists,1.6343209660866407,5.18026732894233,109
task1_real_right_fist-task3_real_both_feet,1.5448596064219895,1.809513997503294,109
task1_real_left_fist-task4_imag_both_feet,1.529976749309365,3.5808398706255717,109
task1_real_right_fist-task4_imag_both_feet,1.5205124565287003,3.0111994687272587,109
task2_imag_left_fist-task3_real_both_fists,1.4430659709214604,1.3960178251285447,109
task1_real_right_fist-task4_imag_both_fists,1.4066460723703227,1.9279640623944803,109
task2_imag_right_fist-task3_real_both_fists,1.4045002164139622,1.4620063609156084,109
task1_real_left_fist-task4_imag_both_fists,1.3807539745689381,2.2440431993379972,109
task2_imag_right_fist-task4_imag_both_feet,1.2764818679054124,1.7802516482516992,109
task2_imag_left_fist-task4_imag_both_feet,1.2729379272895651,1.153716214000519,109
task3_real_both_feet-task4_imag_both_fists,1.2523732722233387,0.5010594224418068,109
task1_real_left_fist-task3_real_both_fists,1.2305763465127681,0.7797724318727102,109
task2_imag_right_fist-task4_imag_both_fists,1.2168095014510778,1.1381938431491998,109
task3_real_both_feet-task4_imag_both_feet,1.2118478906106214,0.6438048961544907,109
task2_imag_left_fist-task4_imag_both_fists,1.2023223898095639,0.70660145001652,109
task1_real_right_fist-task2_imag_right_fist,1.1950854209597535,0.5394901032087169,109
task1_real_right_fist-task3_real_both_fists,1.1843593194035393,0.4533886251562832,109
task1_real_left_fist-task2_imag_right_fist,1.182803010945215,0.5256283909662652,109
task3_real_both_feet-task3_real_both_fists,1.1721603931619038,0.3548271009827117,109
task4_imag_both_feet-task4_imag_both_fists,1.1719235489731301,0.518478617685411,109
task1_real_right_fist-task2_imag_left_fist,1.167322375074199,0.5432404172312726,109
task1_real_left_fist-task2_imag_left_fist,1.1371499573382382,0.666032896856971,109
task2_imag_left_fist-task2_imag_right_fist,1.0925260313553657,0.28421674726601315,109
task1_real_left_fist-task1_real_right_fist,1.0648927162063426,0.367055086281027,109
