pca_dim,lda_dim,val_bal_acc
5,1,0.05654518377121117
5,2,0.09952210798878447
5,3,0.13570113465602276
5,4,0.20221978044707165
5,5,0.21613990504936662
5,6,0.21613990504936662
5,7,0.21613990504936662
5,8,0.21613990504936662
5,9,0.21613990504936662
5,10,0.21613990504936662
5,11,0.21613990504936662
5,12,0.21613990504936662
5,13,0.21613990504936662
5,14,0.21613990504936662
5,15,0.21613990504936662
5,16,0.21613990504936662
5,17,0.21613990504936662
5,18,0.21613990504936662
5,19,0.21613990504936662
5,20,0.21613990504936662
15,1,0.062204330731727986
15,2,0.12581265434620034
15,3,0.1802729916505719
15,4,0.20929075785809945
15,5,0.255528077829138
15,6,0.2817440757293718
15,7,0.29216277548048886
15,8,0.3192023854484818
15,9,0.3588929850710693
15,10,0.38917452667359953
15,11,0.4183806572461956
15,12,0.42965066314328765
15,13,0.4467640171559786
15,14,0.46231215993187763
15,15,0.4810426019815264
15,16,0.4810426019815264
15,17,0.4810426019815264
15,18,0.4810426019815264
15,19,0.4810426019815264
15,20,0.4810426019815264
25,1,0.06316251939539612
25,2,0.13979539621562184
25,3,0.18201427550486046
25,4,0.2445965626617815
25,5,0.2855604302878609
25,6,0.33213011780072726
25,7,0.3837278742123876
25,8,0.420621000132172
25,9,0.4587541874153838
25,10,0.4723927872854022
25,11,0.49839447954310295
25,12,0.5610502777446363
25,13,0.6051026301088089
25,14,0.6649234013422639
25,15,0.6705714062499886
25,16,0.68254002316472
25,17,0.689050232840157
25,18,0.6990363527088546
25,19,0.7069098159447681
25,20,0.714027693321344
