pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.14477416178250244,0,4
5,2,0.24328107920678158,0,4
5,3,0.27590017444787707,0,4
5,4,0.3091115709792546,0,4
5,5,0.3029139561152292,0,4
5,6,0.3029139561152292,0,4
5,7,0.3029139561152292,0,4
5,8,0.3029139561152292,0,4
5,9,0.3029139561152292,0,4
5,10,0.3029139561152292,0,4
5,11,0.3029139561152292,0,4
5,12,0.3029139561152292,0,4
5,13,0.3029139561152292,0,4
5,14,0.3029139561152292,0,4
5,15,0.3029139561152292,0,4
5,16,0.3029139561152292,0,4
5,17,0.3029139561152292,0,4
5,18,0.3029139561152292,0,4
5,19,0.3029139561152292,0,4
5,20,0.3029139561152292,0,4
15,1,0.1633447833202735,0,4
15,2,0.27142972913989155,0,4
15,3,0.4043750739551149,0,4
15,4,0.4759670154779169,0,4
15,5,0.49640367947527003,0,4
15,6,0.5261900944133165,0,4
15,7,0.5409494813412724,0,4
15,8,0.5503268971848866,0,4
15,9,0.5652932567340309,0,4
15,10,0.5633059645607202,0,4
15,11,0.5615963328454182,0,4
15,12,0.5693959257765228,0,4
15,13,0.5676612738670098,0,4
15,14,0.5781919813067383,0,4
15,15,0.5845379676799781,0,4
15,16,0.5845379676799781,0,4
15,17,0.5845379676799781,0,4
15,18,0.5845379676799781,0,4
15,19,0.5845379676799781,0,4
15,20,0.5845379676799781,0,4
25,1,0.19831640652719085,0,4
25,2,0.251592745212514,0,4
25,3,0.4713732507974533,0,4
25,4,0.6048249282295961,0,4
25,5,0.7384635063633453,0,4
25,6,0.7752362965073311,0,4
25,7,0.7841921361265816,0,4
25,8,0.7851648460075076,0,4
25,9,0.7795961119349691,0,4
25,10,0.7848200805992729,0,4
25,11,0.7881519348162236,0,4
25,12,0.7857290871694954,0,4
25,13,0.7847214648266375,0,4
25,14,0.7883334866377375,0,4
25,15,0.7881049001095826,0,4
25,16,0.7881049001095826,0,4
25,17,0.7881049001095826,0,4
25,18,0.7881049001095826,0,4
25,19,0.7881049001095826,0,4
25,20,0.7881049001095826,0,4
5,1,0.2411884019760732,1,4
5,2,0.2693158964277686,1,4
5,3,0.34109642899597237,1,4
5,4,0.3521650052757359,1,4
5,5,0.3534292263173542,1,4
5,6,0.3534292263173542,1,4
5,7,0.3534292263173542,1,4
5,8,0.3534292263173542,1,4
5,9,0.3534292263173542,1,4
5,10,0.3534292263173542,1,4
5,11,0.3534292263173542,1,4
5,12,0.3534292263173542,1,4
5,13,0.3534292263173542,1,4
5,14,0.3534292263173542,1,4
5,15,0.3534292263173542,1,4
5,16,0.3534292263173542,1,4
5,17,0.3534292263173542,1,4
5,18,0.3534292263173542,1,4
5,19,0.3534292263173542,1,4
5,20,0.3534292263173542,1,4
15,1,0.24023041046442872,1,4
15,2,0.34596256037466083,1,4
15,3,0.408572092304969,1,4
15,4,0.46194663046831996,1,4
15,5,0.47359361908448666,1,4
15,6,0.5218898031968808,1,4
15,7,0.5279908207134235,1,4
15,8,0.5305139850231174,1,4
15,9,0.5391568527127887,1,4
15,10,0.5415665953337186,1,4
15,11,0.5456007351269908,1,4
15,12,0.5532062780921229,1,4
15,13,0.562093317173226,1,4
15,14,0.5678100436947469,1,4
15,15,0.57293886931444,1,4
15,16,0.57293886931444,1,4
15,17,0.57293886931444,1,4
15,18,0.57293886931444,1,4
15,19,0.57293886931444,1,4
15,20,0.57293886931444,1,4
25,1,0.242494853196908,1,4
25,2,0.33290542514286803,1,4
25,3,0.3977736086183575,1,4
25,4,0.528276812152383,1,4
25,5,0.6663625065736938,1,4
25,6,0.7336474392695854,1,4
25,7,0.7389709082346068,1,4
25,8,0.756672573681706,1,4
25,9,0.7592672820983323,1,4
25,10,0.7511203403326691,1,4
25,11,0.7557679216640404,1,4
25,12,0.7572113508757344,1,4
25,13,0.7664030197135219,1,4
25,14,0.7705505939809593,1,4
25,15,0.7743626745339074,1,4
25,16,0.7743626745339074,1,4
25,17,0.7743626745339074,1,4
25,18,0.7743626745339074,1,4
25,19,0.7743626745339074,1,4
25,20,0.7743626745339074,1,4
5,1,0.18769282981611748,2,4
5,2,0.2770848759718623,2,4
5,3,0.34286298284585953,2,4
5,4,0.3962382759471801,2,4
5,5,0.41793934345304207,2,4
5,6,0.41793934345304207,2,4
5,7,0.41793934345304207,2,4
5,8,0.41793934345304207,2,4
5,9,0.41793934345304207,2,4
5,10,0.41793934345304207,2,4
5,11,0.41793934345304207,2,4
5,12,0.41793934345304207,2,4
5,13,0.41793934345304207,2,4
5,14,0.41793934345304207,2,4
5,15,0.41793934345304207,2,4
5,16,0.41793934345304207,2,4
5,17,0.41793934345304207,2,4
5,18,0.41793934345304207,2,4
5,19,0.41793934345304207,2,4
5,20,0.41793934345304207,2,4
15,1,0.17857969270640503,2,4
15,2,0.2685617980994693,2,4
15,3,0.3356048685671973,2,4
15,4,0.4975626311242749,2,4
15,5,0.5142424102184376,2,4
15,6,0.5245780883623349,2,4
15,7,0.5484118536344563,2,4
15,8,0.5648949463161792,2,4
15,9,0.5777412686659261,2,4
15,10,0.5834027520671357,2,4
15,11,0.582777983462915,2,4
15,12,0.5904796063186474,2,4
15,13,0.5944056213747995,2,4
15,14,0.6040471121806738,2,4
15,15,0.6028708503023571,2,4
15,16,0.6028708503023571,2,4
15,17,0.6028708503023571,2,4
15,18,0.6028708503023571,2,4
15,19,0.6028708503023571,2,4
15,20,0.6028708503023571,2,4
25,1,0.20429162038751078,2,4
25,2,0.28862766876465507,2,4
25,3,0.32335631864741454,2,4
25,4,0.5145933604837715,2,4
25,5,0.6603958410465259,2,4
