pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.056746031746031746,0,10
5,2,0.10235449735449735,0,10
5,3,0.1379100529100529,0,10
5,4,0.14509920634920634,0,10
5,5,0.17090608465608467,0,10
5,6,0.17090608465608467,0,10
5,7,0.17090608465608467,0,10
5,8,0.17090608465608467,0,10
5,9,0.17090608465608467,0,10
5,10,0.17090608465608467,0,10
5,11,0.17090608465608467,0,10
5,12,0.17090608465608467,0,10
5,13,0.17090608465608467,0,10
5,14,0.17090608465608467,0,10
5,15,0.17090608465608467,0,10
5,16,0.17090608465608467,0,10
5,17,0.17090608465608467,0,10
5,18,0.17090608465608467,0,10
5,19,0.17090608465608467,0,10
5,20,0.17090608465608467,0,10
15,1,0.05351190476190476,0,10
15,2,0.12139550264550265,0,10
15,3,0.16091269841269842,0,10
15,4,0.20493386243386238,0,10
15,5,0.23043650793650794,0,10
15,6,0.2519047619047619,0,10
15,7,0.26875,0,10
15,8,0.2767526455026455,0,10
15,9,0.28970899470899475,0,10
15,10,0.30374999999999996,0,10
15,11,0.320813492063492,0,10
15,12,0.3283597883597884,0,10
15,13,0.3272420634920635,0,10
15,14,0.3467195767195767,0,10
15,15,0.3507539682539682,0,10
15,16,0.3507539682539682,0,10
15,17,0.3507539682539682,0,10
15,18,0.3507539682539682,0,10
15,19,0.3507539682539682,0,10
15,20,0.3507539682539682,0,10
25,1,0.07029100529100529,0,10
25,2,0.13455026455026456,0,10
25,3,0.17357804232804233,0,10
25,4,0.22398809523809524,0,10
25,5,0.2586904761904762,0,10
25,6,0.28787698412698415,0,10
25,7,0.28966269841269837,0,10
25,8,0.31375000000000003,0,10
25,9,0.31656746031746036,0,10
25,10,0.32072751322751325,0,10
25,11,0.3290674603174603,0,10
25,12,0.3318650793650794,0,10
25,13,0.33676587301587296,0,10
25,14,0.33544312169312174,0,10
25,15,0.3434325396825397,0,10
25,16,0.3556283068783069,0,10
25,17,0.3510978835978836,0,10
25,18,0.34813492063492063,0,10
25,19,0.355542328042328,0,10
25,20,0.35920634920634925,0,10
5,1,0.059503968253968254,1,10
5,2,0.14243386243386244,1,10
5,3,0.19110449735449733,1,10
5,4,0.21869047619047619,1,10
5,5,0.2823809523809524,1,10
5,6,0.2823809523809524,1,10
5,7,0.2823809523809524,1,10
5,8,0.2823809523809524,1,10
5,9,0.2823809523809524,1,10
5,10,0.2823809523809524,1,10
5,11,0.2823809523809524,1,10
5,12,0.2823809523809524,1,10
5,13,0.2823809523809524,1,10
5,14,0.2823809523809524,1,10
5,15,0.2823809523809524,1,10
5,16,0.2823809523809524,1,10
5,17,0.2823809523809524,1,10
5,18,0.2823809523809524,1,10
5,19,0.2823809523809524,1,10
5,20,0.2823809523809524,1,10
15,1,0.08361111111111112,1,10
15,2,0.1066732804232804,1,10
15,3,0.1882142857142857,1,10
15,4,0.22033730158730158,1,10
15,5,0.2784986772486773,1,10
15,6,0.2920634920634921,1,10
15,7,0.3063558201058201,1,10
15,8,0.3390343915343916,1,10
15,9,0.34807539682539673,1,10
15,10,0.3574669312169312,1,10
15,11,0.3819775132275132,1,10
15,12,0.3947619047619047,1,10
15,13,0.42558862433862427,1,10
15,14,0.4207804232804233,1,10
15,15,0.42826058201058204,1,10
15,16,0.42826058201058204,1,10
15,17,0.42826058201058204,1,10
15,18,0.42826058201058204,1,10
15,19,0.42826058201058204,1,10
15,20,0.42826058201058204,1,10
25,1,0.06783068783068784,1,10
25,2,0.13025793650793652,1,10
25,3,0.19422619047619047,1,10
25,4,0.24416005291005294,1,10
25,5,0.2877910052910053,1,10
25,6,0.3094973544973545,1,10
25,7,0.3306481481481482,1,10
25,8,0.34032407407407406,1,10
25,9,0.3539087301587302,1,10
25,10,0.38107142857142856,1,10
25,11,0.3920767195767196,1,10
25,12,0.39815476190476184,1,10
25,13,0.4299867724867725,1,10
25,14,0.4348015873015873,1,10
25,15,0.4454629629629629,1,10
25,16,0.46183862433862427,1,10
25,17,0.46009259259259255,1,10
25,18,0.4620436507936508,1,10
25,19,0.46960978835978834,1,10
25,20,0.4761441798941799,1,10
5,1,0.06712962962962964,2,10
5,2,0.11470899470899472,2,10
5,3,0.19381613756613758,2,10
5,4,0.24343253968253967,2,10
5,5,0.26096560846560846,2,10
5,6,0.26096560846560846,2,10
5,7,0.26096560846560846,2,10
5,8,0.26096560846560846,2,10
5,9,0.26096560846560846,2,10
5,10,0.26096560846560846,2,10
5,11,0.26096560846560846,2,10
5,12,0.26096560846560846,2,10
5,13,0.26096560846560846,2,10
5,14,0.26096560846560846,2,10
5,15,0.26096560846560846,2,10
5,16,0.26096560846560846,2,10
5,17,0.26096560846560846,2,10
5,18,0.26096560846560846,2,10
5,19,0.26096560846560846,2,10
5,20,0.26096560846560846,2,10
15,1,0.06628306878306878,2,10
15,2,0.11662037037037036,2,10
15,3,0.16938492063492064,2,10
15,4,0.2246957671957672,2,10
15,5,0.271765873015873,2,10
15,6,0.2948148148148148,2,10
15,7,0.2996296296296297,2,10
15,8,0.3452843915343915,2,10
15,9,0.3708068783068783,2,10
15,10,0.39423280423280427,2,10
15,11,0.4001322751322751,2,10
15,12,0.3955489417989419,2,10
15,13,0.39466931216931217,2,10
15,14,0.4019576719576719,2,10
15,15,0.397771164021164,2,10
15,16,0.397771164021164,2,10
15,17,0.397771164021164,2,10
15,18,0.397771164021164,2,10
15,19,0.397771164021164,2,10
15,20,0.397771164021164,2,10
25,1,0.0683994708994709,2,10
25,2,0.12133597883597884,2,10
25,3,0.20849867724867724,2,10
25,4,0.23539021164021165,2,10
25,5,0.29484126984126985,2,10
25,6,0.29494047619047614,2,10
25,7,0.32288359788359794,2,10
25,8,0.34694444444444433,2,10
25,9,0.3832804232804232,2,10
25,10,0.40605820105820106,2,10
25,11,0.40996031746031747,2,10
25,12,0.4206283068783068,2,10
25,13,0.4258531746031746,2,10
25,14,0.44712962962962965,2,10
25,15,0.4456878306878307,2,10
25,16,0.45650132275132266,2,10
25,17,0.4749338624338624,2,10
25,18,0.47257936507936504,2,10
25,19,0.4614351851851852,2,10
25,20,0.46667328042328043,2,10
5,1,0.08002645502645502,3,10
5,2,0.12065476190476192,3,10
5,3,0.15347883597883596,3,10
5,4,0.2018849206349206,3,10
5,5,0.22129629629629624,3,10
5,6,0.22129629629629624,3,10
5,7,0.22129629629629624,3,10
5,8,0.22129629629629624,3,10
5,9,0.22129629629629624,3,10
5,10,0.22129629629629624,3,10
5,11,0.22129629629629624,3,10
5,12,0.22129629629629624,3,10
5,13,0.22129629629629624,3,10
5,14,0.22129629629629624,3,10
5,15,0.22129629629629624,3,10
5,16,0.22129629629629624,3,10
5,17,0.22129629629629624,3,10
5,18,0.22129629629629624,3,10
5,19,0.22129629629629624,3,10
5,20,0.22129629629629624,3,10
15,1,0.07141534391534392,3,10
15,2,0.11570767195767195,3,10
15,3,0.15365079365079368,3,10
15,4,0.189239417989418,3,10
15,5,0.2371825396825397,3,10
15,6,0.2837367724867725,3,10
15,7,0.3471031746031746,3,10
15,8,0.38000661375661365,3,10
15,9,0.39478174603174604,3,10
15,10,0.4091335978835979,3,10
15,11,0.4058068783068783,3,10
15,12,0.41411375661375666,3,10
15,13,0.4332076719576719,3,10
15,14,0.43427910052910046,3,10
15,15,0.4359523809523809,3,10
15,16,0.4359523809523809,3,10
15,17,0.4359523809523809,3,10
15,18,0.4359523809523809,3,10
15,19,0.4359523809523809,3,10
15,20,0.4359523809523809,3,10
25,1,0.05820767195767195,3,10
25,2,0.11841269841269841,3,10
25,3,0.15998677248677248,3,10
25,4,0.1920238095238095,3,10
25,5,0.2444510582010582,3,10
25,6,0.27898809523809526,3,10
25,7,0.31689153439153434,3,10
25,8,0.3545965608465608,3,10
25,9,0.38044973544973537,3,10
25,10,0.4204298941798941,3,10
25,11,0.41978174603174595,3,10
25,12,0.420542328042328,3,10
25,13,0.42970238095238095,3,10
25,14,0.4373809523809524,3,10
25,15,0.4494708994708995,3,10
25,16,0.4651521164021164,3,10
25,17,0.47883597883597884,3,10
25,18,0.46228174603174604,3,10
25,19,0.4668915343915343,3,10
25,20,0.47384920634920635,3,10
5,1,0.06291050903119869,4,10
5,2,0.15986590038314175,4,10
5,3,0.17645398981605878,4,10
5,4,0.20298676419366077,4,10
5,5,0.2238095238095238,4,10
5,6,0.2238095238095238,4,10
5,7,0.2238095238095238,4,10
5,8,0.2238095238095238,4,10
5,9,0.2238095238095238,4,10
5,10,0.2238095238095238,4,10
5,11,0.2238095238095238,4,10
5,12,0.2238095238095238,4,10
5,13,0.2238095238095238,4,10
5,14,0.2238095238095238,4,10
5,15,0.2238095238095238,4,10
5,16,0.2238095238095238,4,10
5,17,0.2238095238095238,4,10
5,18,0.2238095238095238,4,10
5,19,0.2238095238095238,4,10
5,20,0.2238095238095238,4,10
15,1,0.06893130815544608,4,10
15,2,0.14460864805692392,4,10
15,3,0.17744771193047057,4,10
15,4,0.23023958799820865,4,10
15,5,0.2553196165265131,4,10
15,6,0.26946807981290744,4,10
15,7,0.27632337330613194,4,10
15,8,0.2994646796370934,4,10
15,9,0.31017668474565024,4,10
15,10,0.32743402829609725,4,10
15,11,0.34346005208074165,4,10
15,12,0.34412122041432386,4,10
15,13,0.3672892720306513,4,10
15,14,0.3804442205304275,4,10
15,15,0.39820557794695727,4,10
15,16,0.39820557794695727,4,10
15,17,0.39820557794695727,4,10
15,18,0.39820557794695727,4,10
15,19,0.39820557794695727,4,10
15,20,0.39820557794695727,4,10
25,1,0.06579091406677613,4,10
25,2,0.1366447728516694,4,10
25,3,0.18984487734487734,4,10
25,4,0.22160749531439186,4,10
25,5,0.2453394785291337,4,10
25,6,0.28458393458393455,4,10
25,7,0.2912223632051218,4,10
25,8,0.31569077474249885,4,10
25,9,0.32612454595213214,4,10
25,10,0.3607487021280124,4,10
25,11,0.37351097178683385,4,10
25,12,0.37375520392761774,4,10
25,13,0.3874319964837207,4,10
25,14,0.40780692806554875,4,10
25,15,0.4201520542037784,4,10
25,16,0.411606624537659,4,10
25,17,0.4208157104708828,4,10
25,18,0.428170663946526,4,10
25,19,0.4260770678874127,4,10
25,20,0.4299905873181735,4,10
5,1,0.06461640211640211,5,10
5,2,0.12244708994708993,5,10
5,3,0.16246031746031744,5,10
5,4,0.18779100529100531,5,10
