pca_dim,lda_dim,val_bal_acc
5,1,0.13552684583934585
5,2,0.21854634002361273
5,3,0.2557652007083825
5,4,0.29441409495386767
5,5,0.32119419301237484
5,6,0.32119419301237484
5,7,0.32119419301237484
5,8,0.32119419301237484
5,9,0.32119419301237484
5,10,0.32119419301237484
5,11,0.32119419301237484
5,12,0.32119419301237484
5,13,0.32119419301237484
5,14,0.32119419301237484
5,15,0.32119419301237484
5,16,0.32119419301237484
5,17,0.32119419301237484
5,18,0.32119419301237484
5,19,0.32119419301237484
5,20,0.32119419301237484
15,1,0.1422362012987013
15,2,0.23604091510341507
15,3,0.3023400810048537
15,4,0.3453420705977524
15,5,0.37967123890419346
15,6,0.4090869736324282
15,7,0.424840996545542
15,8,0.4476882187677642
15,9,0.45305783757488294
15,10,0.4529018130438585
15,11,0.46514718341422884
15,12,0.466681875573921
15,13,0.4694014823560278
15,14,0.46667766681971223
15,15,0.4730984219904674
15,16,0.4730984219904674
15,17,0.4730984219904674
15,18,0.4730984219904674
15,19,0.4730984219904674
15,20,0.4730984219904674
25,1,0.15330853174603173
25,2,0.24583213083213082
25,3,0.3017536703616249
25,4,0.36594399077353623
25,5,0.4096991014036469
25,6,0.4305886516681971
25,7,0.4517710109755565
25,8,0.47139417716122256
25,9,0.47095842078796624
25,10,0.48011682025886565
25,11,0.47983558529013076
25,12,0.4850493298788753
25,13,0.49413527865232415
25,14,0.49488864565569113
25,15,0.4918715701386156
25,16,0.4918109941405396
25,17,0.4902830660501115
25,18,0.48881114991910446
25,19,0.49498148421443877
25,20,0.4909759527089072
