,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,,,,,
Joint_LDA,0.0,0.0,0.8523385631667557,0.043326886150521944,0.6356116453686308,0.08076939058679254,0.0,0.0,0.8498519632903238,0.04429329312119881,0.592833597192784,0.11126913404919202
Raw,0.0,0.0,0.8956019928246022,0.04937646235187954,0.658441018221237,0.06895905700043183,0.0,0.0,0.8935013157618803,0.04994057055596382,0.6258336984486353,0.09316326368959606
State_LDA,0.0,0.0,0.7856052622622586,0.06241459400830703,0.7208705617837283,0.07479165382350136,0.0,0.0,0.7681123135994575,0.07897414677010525,0.6973552473310531,0.09685220117968674
Trait_LDA,0.0,0.0,0.580701739877658,0.040234951114920516,0.5059579836850586,0.026312190424509913,0.0,0.0,0.5309267105388539,0.05912304568272282,0.38082626127244323,0.047996135586118954
