,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,,,,,
Joint_LDA,0.0,0.0,0.8831595105985743,0.04218033582794865,0.6560655959505943,0.07962494322275018,0.0,0.0,0.8819991137160512,0.042589819044309335,0.6156421225542181,0.09352474270944693
Raw,0.0,0.0,0.8882433170358107,0.03623550008987305,0.6358826510413822,0.0772948849996469,0.0,0.0,0.8868565585102075,0.036597391146091014,0.5919263090404424,0.08438027655876779
State_LDA,0.0,0.0,0.7690955573021131,0.0546696735765336,0.7142186511284444,0.053532470895669766,0.0,0.0,0.75942616558696,0.06256040178452112,0.6931904980760135,0.06383204982797855
Trait_LDA,0.0,0.0,0.7619297474371223,0.042373019115911396,0.4995494540411203,0.030418329669088775,0.0,0.0,0.7573017922688241,0.04439796195457275,0.41005570175379225,0.03694747312902453
