dataset,feature,space,n_subjects,n_subjects_plot,n_subjects_label,num_classes,mean_hierarchy,std_hierarchy,n_seeds,mean_pval,sem_hierarchy
lee,psd,Trait_LDA,20,20.0,20,2,9.142275902147528,2.3075615150423423,10,0.0,0.7297150228482698
lee,psd,Trait_LDA,all,54.0,all (54),2,7.479777788778006,0.0,1,0.0,0.0
lemon,complexity,Joint_LDA,4,4.0,4,2,1.7099925299433143,0.5574212745421171,10,0.0,0.17627208437871217
lemon,complexity,Joint_LDA,10,10.0,10,2,1.3764282598863429,0.19523178698190463,10,0.0,0.06173771185276288
lemon,complexity,Joint_LDA,20,20.0,20,2,1.537188895452599,0.1750598132457731,10,0.0,0.05535877366203568
lemon,complexity,Joint_LDA,all,156.0,all (156),2,1.485278873421748,0.0,1,0.0,0.0
lemon,complexity,Raw,4,4.0,4,2,2.4459532448480976,1.1638424609441114,10,0.0,0.36803930141989527
lemon,complexity,Raw,10,10.0,10,2,1.2996295100622417,0.4849334860518128,10,0.0,0.15334943296092218
lemon,complexity,Raw,20,20.0,20,2,1.3920765674765696,0.23006384779058028,10,0.0,0.07275257662805304
lemon,complexity,Raw,all,156.0,all (156),2,1.395408330949882,0.0,1,0.0,0.0
lemon,complexity,State_LDA,4,4.0,4,2,1.4726315201283557,0.9385266557518129,10,0.0186,0.2967881876956497
lemon,complexity,State_LDA,10,10.0,10,2,0.9406945762788343,0.17221737889945002,10,0.0364,0.0544599169986484
lemon,complexity,State_LDA,20,20.0,20,2,1.2050221020284837,0.4422520974883126,10,0.0,0.13985239280498993
lemon,complexity,State_LDA,all,156.0,all (156),2,0.8987768595404707,0.0,1,0.0,0.0
lemon,complexity,Trait_LDA,4,4.0,4,2,1.6416464729870814,1.0884713449233612,10,0.039,0.34420486177845755
lemon,complexity,Trait_LDA,10,10.0,10,2,1.5015911457251316,0.2577366872007379,10,0.0,0.08150349681406989
lemon,complexity,Trait_LDA,20,20.0,20,2,1.6340649324313758,0.1509903638316938,10,0.0,0.047747345444566096
lemon,complexity,Trait_LDA,all,156.0,all (156),2,1.742393904541684,0.0,1,0.0,0.0
lemon,entropy,Joint_LDA,4,4.0,4,2,2.012958578790367,1.1729518142744029,10,0.0,0.3709199318733914
lemon,entropy,Joint_LDA,10,10.0,10,2,1.627907673057841,0.44557036910162506,10,0.0,0.1409017224243048
lemon,entropy,Joint_LDA,20,20.0,20,2,1.625978334868479,0.23053205815809205,10,0.0,0.0729006377465972
lemon,entropy,Joint_LDA,all,156.0,all (156),2,1.5392153394853567,0.0,1,0.0,0.0
lemon,entropy,Raw,4,4.0,4,2,2.1775697442076156,1.5769807540367067,10,0.0,0.49868510090057633
lemon,entropy,Raw,10,10.0,10,2,1.2279762756438997,0.3917394977338368,10,0.0,0.12387890622892936
lemon,entropy,Raw,20,20.0,20,2,1.2167885004568635,0.16388049834581983,10,0.0,0.05182356388562471
lemon,entropy,Raw,all,156.0,all (156),2,1.2476095741107085,0.0,1,0.0,0.0
lemon,entropy,State_LDA,4,4.0,4,2,1.2450533561510775,0.9951353081842248,10,0.005,0.3146894153915749
lemon,entropy,State_LDA,10,10.0,10,2,1.0362343373254916,0.4271450516332007,10,0.014000000000000002,0.13507512544311395
lemon,entropy,State_LDA,20,20.0,20,2,1.2790584139897994,0.31566499980798596,10,0.0428,0.09982203769898497
lemon,entropy,State_LDA,all,156.0,all (156),2,0.9765762700947408,0.0,1,0.0,0.0
lemon,entropy,Trait_LDA,4,4.0,4,2,4.896983346347264,6.085569111361905,10,0.0969,1.9244259250270488
lemon,entropy,Trait_LDA,10,10.0,10,2,1.9394670468470832,0.47313159890510553,10,0.0,0.14961734855373612
lemon,entropy,Trait_LDA,20,20.0,20,2,1.6685449187541213,0.21355489013570852,10,0.0,0.06753198582958636
lemon,entropy,Trait_LDA,all,156.0,all (156),2,1.8354994941104352,0.0,1,0.0,0.0
lemon,psd,Joint_LDA,4,4.0,4,2,4.025411220082452,3.341982033379124,10,0.0,1.05682751248389
lemon,psd,Joint_LDA,10,10.0,10,2,2.0209517031633504,0.45825528591027087,10,0.0,0.1449130453288123
lemon,psd,Joint_LDA,20,20.0,20,2,2.044315891399092,0.4553425304010848,10,0.0,0.14399195116118915
lemon,psd,Joint_LDA,all,156.0,all (156),2,2.04565834312096,0.0,1,0.0,0.0
lemon,psd,Raw,4,4.0,4,2,4.226293950675677,2.5111406839587525,10,0.0,0.7940924086422707
lemon,psd,Raw,10,10.0,10,2,1.916327435905482,0.35028237245755955,10,0.0,0.110769012117332
lemon,psd,Raw,20,20.0,20,2,1.7632477330746035,0.3525867736611911,10,0.0,0.11149772776196294
lemon,psd,Raw,all,156.0,all (156),2,1.7977903012690948,0.0,1,0.0,0.0
lemon,psd,State_LDA,4,4.0,4,2,4.2416336120804665,7.15962210346916,10,0.021500000000000002,2.2640713033048265
lemon,psd,State_LDA,10,10.0,10,2,1.037446396647224,0.35500043227439304,10,0.015,0.11226099363314308
lemon,psd,State_LDA,20,20.0,20,2,1.13548809368929,0.21456594567250442,10,0.0,0.06785170966330628
lemon,psd,State_LDA,all,156.0,all (156),2,1.133147561808412,0.0,1,0.0,0.0
lemon,psd,Trait_LDA,4,4.0,4,2,11.781136016881025,20.756910991810045,10,0.0032,6.563911592350438
lemon,psd,Trait_LDA,10,10.0,10,2,2.7331688468705075,0.7774030384704811,10,0.0,0.24583642615022214
lemon,psd,Trait_LDA,20,20.0,20,2,2.1752420806748267,0.42474954666862,10,0.0,0.13431760025968234
lemon,psd,Trait_LDA,all,156.0,all (156),2,2.42514554688819,0.0,1,0.0,0.0
motor,complexity,Joint_LDA,4,4.0,4,6,4.18498259277077,0.22763489594347092,10,0.0,0.07198447461167917
motor,complexity,Joint_LDA,4,4.0,4,10,2.606411716824935,0.11630132648136947,10,0.0,0.03677770865799838
motor,complexity,Joint_LDA,10,10.0,10,6,7.976215768475082,0.4995030763988332,10,0.0,0.15795674196814094
motor,complexity,Joint_LDA,10,10.0,10,10,4.983549248796212,0.24131885216809615,10,0.0,0.0763117215188646
motor,complexity,Joint_LDA,20,20.0,20,6,7.458126322755108,0.34490232944029847,10,0.0,0.10906769313290905
motor,complexity,Joint_LDA,20,20.0,20,10,4.898311006585545,0.15650794448666777,10,0.0,0.049492157648906236
motor,complexity,Joint_LDA,all,105.0,all (105),6,4.586373888656679,0.0,1,0.0,0.0
motor,complexity,Joint_LDA,all,105.0,all (105),10,3.290676702414592,0.0,1,0.0,0.0
motor,complexity,Raw,4,4.0,4,6,3.297849504046929,0.35123193963634547,10,0.0,0.11106929162496239
motor,complexity,Raw,4,4.0,4,10,2.736721580419551,0.2403096760829564,10,0.0,0.07599259201994324
motor,complexity,Raw,10,10.0,10,6,6.528242027584819,0.7089247602630512,10,0.0,0.22418169321200707
motor,complexity,Raw,10,10.0,10,10,4.62068433127374,0.31124696648805966,10,0.0,0.09842493289203673
motor,complexity,Raw,20,20.0,20,6,5.549159426870568,0.2352886312433653,10,0.0,0.07440479822724898
motor,complexity,Raw,20,20.0,20,10,3.742139748969268,0.11490063083483637,10,0.0,0.036334769802825705
motor,complexity,Raw,all,105.0,all (105),6,4.541783689160848,0.0,1,0.0,0.0
motor,complexity,Raw,all,105.0,all (105),10,3.1391032248792725,0.0,1,0.0,0.0
motor,complexity,State_LDA,4,4.0,4,6,0.8949188195727379,0.06068324709610308,10,0.0,0.019189727663848445
motor,complexity,State_LDA,4,4.0,4,10,0.9394390230155718,0.03584481844868778,10,0.0,0.011335126861307675
motor,complexity,State_LDA,10,10.0,10,6,1.2011265446102775,0.04628556336697296,10,0.0,0.01463678030236865
motor,complexity,State_LDA,10,10.0,10,10,1.150788794822446,0.03953474787753933,10,0.0,0.012501985001353185
motor,complexity,State_LDA,20,20.0,20,6,1.8890931615799456,0.12733487249262607,10,0.0,0.040266822264382045
motor,complexity,State_LDA,20,20.0,20,10,1.5083927466273805,0.043806463793125104,10,0.0,0.013852820182397448
motor,complexity,State_LDA,all,105.0,all (105),6,2.870535131213076,0.0,1,0.0,0.0
motor,complexity,State_LDA,all,105.0,all (105),10,2.0840095557103693,0.0,1,0.0,0.0
motor,complexity,Trait_LDA,4,4.0,4,6,9.542859047035222,0.7158092948763958,10,0.0,0.2263587742128506
motor,complexity,Trait_LDA,4,4.0,4,10,7.050983802452217,0.5384657760943576,10,0.0,0.17027782945084155
motor,complexity,Trait_LDA,10,10.0,10,6,8.381092242737509,0.6439456268796082,10,0.0,0.20363348702445075
