Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
29,Trait_LDA,7,0.7602681342285111,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
30,State_LDA,7,1.0940880427740076,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
31,Joint_LDA,7,0.992732658092926,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
32,Raw,8,2.9283220976252413,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
33,Trait_LDA,8,2.665216217047752,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
34,State_LDA,8,1.2356194570291423,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
35,Joint_LDA,8,1.7526518430301143,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
36,Raw,9,2.077805747502547,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
37,Trait_LDA,9,0.8422073949820309,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
38,State_LDA,9,2.4520213578961965,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
39,Joint_LDA,9,2.433852361999237,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
0,Raw,0,1.494248932691149,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
1,Trait_LDA,0,1.5371374146579535,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
