,,subject,subject,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1,kappa_trait,kappa_trait,kappa_within,kappa_within,kappa_between,kappa_between
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
num_subjects,space,,,,,,,,,,,,,,,,,,,,
4,Joint_LDA,6.6,2.1864481598143493,0.21015625,0.03154590804266238,0.25,0.006629126073623873,0.2509375,0.009721602162766754,0.12450289973173607,0.02861828168125896,0.13072260917150896,0.021315485468501216,0.16903244896330388,0.03765284151009657,-0.05312500000000005,0.04206121072354984,0.0,0.00883883476483185,0.0012500000000000011,0.012962136217022331
4,Raw,6.6,2.1864481598143493,0.169375,0.05692210351046029,0.250625,0.009969571761671157,0.2453125,0.015537951968933653,0.10700904822423236,0.04610120613729932,0.16234180622390343,0.01844002779056671,0.19439439638885694,0.015078171460354145,-0.10749999999999997,0.07589613801394703,0.0008333333333333332,0.013292762348894892,-0.00625,0.020717269291911537
4,State_LDA,6.6,2.1864481598143493,0.26265625,0.056741917330062674,0.24609375,0.009638935168396723,0.246875,0.01584908755698223,0.21227023577092313,0.052432936797035756,0.19727575988851226,0.01400799586212624,0.20047239196690048,0.023895435922783887,0.01687500000000004,0.07565588977341689,-0.005208333333333329,0.01285191355786233,-0.0041666666666666545,0.02113211674264297
4,Trait_LDA,6.6,2.1864481598143493,0.22515625,0.050638554855438195,0.25187499999999996,0.006020076365333271,0.24765625,0.009118302812506045,0.1273132853210466,0.04388226163816913,0.1286515359109508,0.012926608262210176,0.14266273307271954,0.01975315062389107,-0.033125000000000016,0.06751807314058426,0.002500000000000008,0.008026768487111048,-0.003124999999999989,0.012157737083341388
