,,subject,subject,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
num_subjects,space,,,,,,,,,,,,,,
10,Joint_LDA,7.7,0.5011098792790973,0.0581875,0.010259015344239104,0.2498125,0.006222508983967461,0.25006249999999997,0.006650044381639689,0.048225929040401155,0.009281136814290231,0.1589907631010982,0.0151170839902419,0.18234516487266766,0.016602993140366583
10,Raw,7.7,0.5011098792790973,0.06993750000000001,0.029607457886485288,0.2503125,0.005189549461283831,0.24924999999999997,0.013871934095704008,0.05031741725970542,0.02105976239245777,0.17321212103639902,0.010331556828360275,0.2086615510081457,0.01797442152758681
10,State_LDA,7.7,0.5011098792790973,0.0925625,0.03606568323135505,0.25325000000000003,0.0056041279428649705,0.24775,0.01588041246315725,0.06392730542568109,0.022069848546287078,0.20043359511838146,0.01544843408022461,0.20571069755116836,0.019622038533298122
10,Trait_LDA,7.7,0.5011098792790973,0.0585625,0.013928918010543549,0.24775,0.007530032462671633,0.2529375,0.006250347212577697,0.048803428923298905,0.012533082746166036,0.14728874589568625,0.00854579786804946,0.17127232818523802,0.01832780080957713
