num_subjects,seed,split_type,space,hier_ratio,inter,intra,hier_pval
10,0,between_state,Raw,2.5626326219004265,24.166641425362968,9.430396389569564,0.0
10,0,between_state,Trait_LDA,3.0473067512379264,7.776380128858525,2.551886227305301,0.0
10,0,between_state,State_LDA,0.9857062656934178,4.165204819049531,4.225604486869546,0.0
10,0,between_state,Joint_LDA,1.7107448230156472,10.404613557891437,6.081920236093722,0.0
10,1,between_state,Raw,2.078557132729156,26.936957641063795,12.959450195961384,0.0
10,1,between_state,Trait_LDA,2.313381580341184,9.970750636152246,4.310032863096339,0.0
10,1,between_state,State_LDA,1.1338726296302168,7.4763972017079805,6.593683458208365,0.0
10,1,between_state,Joint_LDA,1.3979747074456308,12.584440468175263,9.001908547522623,0.0
10,2,between_state,Raw,2.517454490348934,22.605388887901928,8.979462776611578,0.0
10,2,between_state,Trait_LDA,2.9165742116129207,7.552206623827974,2.589410066699952,0.0
10,2,between_state,State_LDA,1.0452800386836474,4.278160971363359,4.092837147020406,0.0
10,2,between_state,Joint_LDA,1.5046842438622472,9.156940427612438,6.08562259155998,0.0
10,3,between_state,Raw,2.297329615773455,24.220956961069994,10.543091768272612,0.0
10,3,between_state,Trait_LDA,2.6146095840437944,6.9434880762908255,2.655650051413,0.0
10,3,between_state,State_LDA,1.0140311651672922,4.540854911839328,4.478023031067481,0.0
10,3,between_state,Joint_LDA,1.5129224295845027,10.359304277911257,6.847214421136089,0.0
10,4,between_state,Raw,2.493627197164608,38.97415806986081,15.629504728764825,0.0
10,4,between_state,Trait_LDA,2.2448097262499784,7.6506817346587646,3.408164908230087,0.0
10,4,between_state,State_LDA,1.099343013803657,8.166408260117516,7.428444223120373,0.0
10,4,between_state,Joint_LDA,1.32900631122127,14.38400421708751,10.823127095513602,0.0
10,5,between_state,Raw,2.409668856496167,27.411968451885013,11.375823851474763,0.0
10,5,between_state,Trait_LDA,2.6613828543272473,7.615576779539516,2.861511175348954,0.0
10,5,between_state,State_LDA,1.106271358928175,5.906168788359019,5.338806560156529,0.0
10,5,between_state,Joint_LDA,1.4686992691509546,11.452741368613744,7.797880484569518,0.0
10,6,between_state,Raw,2.2510580247177283,28.04202140370949,12.45726280522059,0.0
10,6,between_state,Trait_LDA,2.2992999122840776,9.077916332888437,3.948121897621707,0.0
10,6,between_state,State_LDA,1.0645834716476705,6.809675839852908,6.396563558622114,0.0
10,6,between_state,Joint_LDA,1.5060613003411003,14.772777326209694,9.808881831611954,0.0
10,7,between_state,Raw,2.4048354119796027,22.753857748886695,9.461711032505242,0.0
10,7,between_state,Trait_LDA,2.8443611263758477,7.5105670361700145,2.6405110682058957,0.0
10,7,between_state,State_LDA,0.9651291754805579,4.159625520026045,4.30991583893926,0.0
10,7,between_state,Joint_LDA,1.6358520466511473,10.516193316451355,6.428572399306953,0.0
10,8,between_state,Raw,2.8536389264005484,20.057545682987165,7.0287608910237465,0.0
10,8,between_state,Trait_LDA,3.8098092151382414,7.766603937197036,2.038580805132317,0.0
10,8,between_state,State_LDA,0.8447905031727385,2.6425926623486395,3.1281041304607275,0.0
10,8,between_state,Joint_LDA,1.8818650253139988,8.566898735668898,4.552344945270168,0.0
10,9,between_state,Raw,2.5010301582890824,24.591466066712,9.832534799794121,0.0
10,9,between_state,Trait_LDA,2.8913792100509763,7.964248335271456,2.754480736247337,0.0
10,9,between_state,State_LDA,1.0073566276656833,4.570831517519915,4.53745117864739,0.0
10,9,between_state,Joint_LDA,1.635867231172539,11.262381709587457,6.884655120522789,0.0
4,0,between_state,Raw,1.942946190581488,38.125802525967785,19.622675455853688,0.0
4,0,between_state,Trait_LDA,1.7489417492740293,6.863417486028617,3.9243259467489766,0.0
4,0,between_state,State_LDA,1.0472096518248566,14.208568644999652,13.568026822747429,0.0
4,0,between_state,Joint_LDA,1.2352825659909428,18.939411944388294,15.332048282568541,0.0
4,1,between_state,Raw,1.2198815167402342,148.5703689203031,121.79081892913064,0.0
4,1,between_state,Trait_LDA,1.2684301718279003,25.078048039276613,19.77093307638474,0.0
4,1,between_state,State_LDA,1.055128959454032,82.15382942333297,77.86141086094614,0.0
4,1,between_state,Joint_LDA,1.080281588288965,97.65843620731746,90.40090775035478,0.0
4,2,between_state,Raw,3.158266779972262,66.79226376809707,21.148391957149258,0.0
4,2,between_state,Trait_LDA,5.776164820681418,8.307876479089012,1.438303223159918,0.0
4,2,between_state,State_LDA,1.1484710672000569,9.62718735538919,8.382612005072122,0.0
4,2,between_state,Joint_LDA,1.759242758387734,15.820207034166001,8.992623081003615,0.0
4,3,between_state,Raw,2.711429248520742,27.05053029711579,9.976483919642597,0.0
4,3,between_state,Trait_LDA,4.058240112921005,3.35279779704577,0.8261703851309385,0.0
4,3,between_state,State_LDA,0.9254451426672502,4.035543654727376,4.360651397549538,0.0
4,3,between_state,Joint_LDA,1.3232630975211699,6.699369739573914,5.062764730705215,0.0
4,4,between_state,Raw,5.987761339921795,71.43837102333642,11.930731197825173,0.0
4,4,between_state,Trait_LDA,6.052572217182081,5.155925334655061,0.8518568882199187,0.0
4,4,between_state,State_LDA,1.249545670150782,4.799006269073544,3.8406009349737893,0.0
4,4,between_state,Joint_LDA,2.630443610666569,12.22613209677352,4.647935446019826,0.0
4,5,between_state,Raw,3.098483214942922,37.204440348503184,12.007307371903428,0.0
4,5,between_state,Trait_LDA,3.8600492995587357,5.481032632141372,1.4199385051294398,0.0
4,5,between_state,State_LDA,1.3368577527455234,4.802583012380442,3.592441306876001,0.0
4,5,between_state,Joint_LDA,2.053842196305183,8.5853933551019,4.180162122750635,0.0
4,6,between_state,Raw,3.040095387957481,36.72923672188271,12.08160667174316,0.0
4,6,between_state,Trait_LDA,4.119767465440743,5.972546766961367,1.4497290968635796,0.0
4,6,between_state,State_LDA,0.8983653440834475,3.3803035150815006,3.7627269766625266,0.0
4,6,between_state,Joint_LDA,1.645237751993784,8.52494208673985,5.181586719857896,0.0
4,7,between_state,Raw,1.90218958874693,39.09237929373284,20.551252895609107,0.0
4,7,between_state,Trait_LDA,1.60634177468003,8.135812198272198,5.0648077056283896,0.0
4,7,between_state,State_LDA,1.0251817157777259,10.122791343916647,9.874143469518739,0.0
4,7,between_state,Joint_LDA,1.2612818285595997,16.796712170186737,13.317176058398307,0.0
4,8,between_state,Raw,1.9430360714722916,46.82751524870806,24.10017803386716,0.0
4,8,between_state,Trait_LDA,1.70372236519105,7.304728884002559,4.287511294824982,0.0
4,8,between_state,State_LDA,1.0370294225484893,12.649070873917356,12.197407902692282,0.0
4,8,between_state,Joint_LDA,1.1370025851606282,17.29828537228088,15.213936712234558,0.0
4,9,between_state,Raw,2.7626613082367553,53.00631834665609,19.18668719492326,0.0
4,9,between_state,Trait_LDA,2.9089331387076105,4.823975445796211,1.6583314967285296,0.0
4,9,between_state,State_LDA,1.2606037551340206,10.373362339063274,8.228884212676673,0.0
4,9,between_state,Joint_LDA,1.382788787992961,13.824324336248962,9.997422929870714,0.0
8,0,between_state,Raw,2.050691984680209,26.16218989459547,12.757737432067488,0.0
8,0,between_state,Trait_LDA,1.91149742152413,5.925372490717207,3.0998590026831523,0.0
8,0,between_state,State_LDA,0.9445959468191434,5.8931049209884065,6.2387573658695015,0.0
8,0,between_state,Joint_LDA,1.2456194455389826,12.259757748358117,9.842297976532704,0.0
8,1,between_state,Raw,2.06763041221529,26.242279245025006,12.691958432217406,0.0
8,1,between_state,Trait_LDA,1.9820202429767546,6.48463863991598,3.271731791284249,0.0
8,1,between_state,State_LDA,1.1515817018854406,7.500287769380616,6.513031387265604,0.0
8,1,between_state,Joint_LDA,1.3205733468454743,10.662576845286026,8.07420267170794,0.0
8,2,between_state,Raw,2.414147860288135,35.32168385994581,14.631118682071971,0.0
8,2,between_state,Trait_LDA,2.2528159721875576,7.4755831100427494,3.3183283509765404,0.0
8,2,between_state,State_LDA,1.0167739929900073,5.912924077321972,5.815376984548899,0.0
8,2,between_state,Joint_LDA,1.3966572408267062,11.695851633011195,8.374174630053265,0.0
8,3,between_state,Raw,1.956870746175685,27.21484532967461,13.907329026641447,0.0
8,3,between_state,Trait_LDA,1.8235167546311373,7.18577595498341,3.940614165860492,0.0
8,3,between_state,State_LDA,1.011363954516928,7.098937692832232,7.019172139888056,0.0
8,3,between_state,Joint_LDA,1.2214125798368045,12.759961018189465,10.446888487012595,0.0
8,4,between_state,Raw,2.2119257034775917,32.07835688940408,14.502456768312992,0.0
8,4,between_state,Trait_LDA,2.0590703719467873,7.660397324133265,3.720318367210828,0.0
8,4,between_state,State_LDA,1.0829563006767322,7.0245683516291395,6.486474428598396,0.0
8,4,between_state,Joint_LDA,1.3680267590300508,12.666461829640989,9.258928413521442,0.0
8,5,between_state,Raw,2.2707996613074792,33.04554306711854,14.552381537740587,0.0
8,5,between_state,Trait_LDA,1.843371793537519,6.7615180382729445,3.6680164370407704,0.0
8,5,between_state,State_LDA,0.9666195639413133,5.608838390358636,5.802529350315495,0.0
8,5,between_state,Joint_LDA,1.310833896586069,11.704950858943242,8.929392876875989,0.0
8,6,between_state,Raw,2.230958757261866,29.70561433822283,13.315178616157645,0.0
8,6,between_state,Trait_LDA,2.370576625536083,9.120653641240077,3.8474409740615445,0.0
8,6,between_state,State_LDA,1.1152746729236476,7.733575418683728,6.934233876584385,0.0
8,6,between_state,Joint_LDA,1.3643510970316293,14.81078988568309,10.855556108619258,0.0
8,7,between_state,Raw,2.063453415377583,24.62891898732675,11.935776598484537,0.0
8,7,between_state,Trait_LDA,2.6300347172748846,8.07461730676897,3.070156167039308,0.0
8,7,between_state,State_LDA,1.1358824913404273,7.120708215710053,6.268877520338463,0.0
8,7,between_state,Joint_LDA,1.4268970187341403,14.316434676461189,10.033264130835379,0.0
8,8,between_state,Raw,2.7103364220904065,22.779248030437046,8.404583226191548,0.0
8,8,between_state,Trait_LDA,3.606251891763386,7.571896452219107,2.0996582267348494,0.0
8,8,between_state,State_LDA,0.9481081143949427,3.5266980356680433,3.719721392658566,0.0
8,8,between_state,Joint_LDA,1.7577395522634254,9.424895054708951,5.361940591581158,0.0
