pca_dim,lda_dim,val_bal_acc
5,1,0.10473638492062601
5,2,0.1997439227459013
5,3,0.2655756532765011
5,4,0.30008783880479517
5,5,0.3211493177286021
5,6,0.3211493177286021
5,7,0.3211493177286021
5,8,0.3211493177286021
5,9,0.3211493177286021
5,10,0.3211493177286021
5,11,0.3211493177286021
5,12,0.3211493177286021
5,13,0.3211493177286021
5,14,0.3211493177286021
5,15,0.3211493177286021
5,16,0.3211493177286021
5,17,0.3211493177286021
5,18,0.3211493177286021
5,19,0.3211493177286021
5,20,0.3211493177286021
15,1,0.12633857118877626
15,2,0.2484193997868756
15,3,0.36375061007920617
15,4,0.513520966756026
15,5,0.6618547435137858
15,6,0.7349445640043142
15,7,0.7819028876011715
15,8,0.8175304577845688
15,9,0.8399133215506394
15,10,0.8531221115161228
15,11,0.8553491589244263
15,12,0.8581112419572156
15,13,0.8592227666886666
15,14,0.8592183442939989
15,15,0.8593067545460272
15,16,0.8593067545460272
15,17,0.8593067545460272
15,18,0.8593067545460272
15,19,0.8593067545460272
15,20,0.8593067545460272
25,1,0.12994478000480522
25,2,0.21850357143892402
25,3,0.2899643427057903
25,4,0.40905605572591497
25,5,0.521173386933298
25,6,0.6495895813192368
25,7,0.7396901621214093
25,8,0.786987321736793
25,9,0.8200363507932046
25,10,0.8765348218547345
25,11,0.88096017187528
25,12,0.8843078558827481
25,13,0.885887097596509
25,14,0.8877369155646516
25,15,0.887764704038668
25,16,0.8891653436219524
25,17,0.8900122701927599
25,18,0.8900473428073024
25,19,0.8903250640412553
25,20,0.8904333449624721
