pca_dim,lda_dim,val_bal_acc
5,1,0.10921447558289663
5,2,0.1808088212956634
5,3,0.21080840358471936
5,4,0.23318261562998405
5,5,0.25194053315105946
5,6,0.25194053315105946
5,7,0.25194053315105946
5,8,0.25194053315105946
5,9,0.25194053315105946
5,10,0.25194053315105946
5,11,0.25194053315105946
5,12,0.25194053315105946
5,13,0.25194053315105946
5,14,0.25194053315105946
5,15,0.25194053315105946
5,16,0.25194053315105946
5,17,0.25194053315105946
5,18,0.25194053315105946
5,19,0.25194053315105946
5,20,0.25194053315105946
15,1,0.1381812485759854
15,2,0.22793136249715196
15,3,0.29580342902711326
15,4,0.33706092883724464
15,5,0.36643964076858815
15,6,0.3823805916305916
15,7,0.39383620034935823
15,8,0.4053883762436394
15,9,0.4093279410647832
15,10,0.4130840168603326
15,11,0.41520446950710116
15,12,0.4213745158350421
15,13,0.42919227994227993
15,14,0.4367172096908939
15,15,0.4403480861244019
15,16,0.4403480861244019
15,17,0.4403480861244019
15,18,0.4403480861244019
15,19,0.4403480861244019
15,20,0.4403480861244019
25,1,0.1438608642819169
25,2,0.2287881446039341
25,3,0.28708874458874456
25,4,0.3339265208475735
25,5,0.37501993620414675
25,6,0.41055971367813476
25,7,0.43816235664919867
25,8,0.45397603858130176
25,9,0.46553953064479375
25,10,0.47056730842257155
25,11,0.4723318903318903
25,12,0.4698181818181818
25,13,0.4735462330067593
25,14,0.47535659223817117
25,15,0.47782351712614873
25,16,0.4800095124174072
25,17,0.4792519366598314
25,18,0.4795059049137997
25,19,0.47830813776866404
25,20,0.47830813776866404
