,space,seed,hier_ratio,hier_pval
0,Raw,0,1.281545093426344,0.0
1,Trait_LDA,0,1.6252977687587011,0.0
2,State_LDA,0,0.9716345206966117,0.0
3,Joint_LDA,0,1.4519323792370948,0.0
4,Raw,1,0.6533212432769782,0.0
5,Trait_LDA,1,0.8774067951666109,0.0
6,State_LDA,1,0.6161620964926109,0.0
7,Joint_LDA,1,0.9938007186538915,0.0
8,Raw,2,1.0912783433533497,0.0
9,Trait_LDA,2,1.7022269551416256,0.0
10,State_LDA,2,0.7752362504868526,0.0
11,Joint_LDA,2,1.492485553469857,0.0
12,Raw,3,0.9574103940268536,0.0
13,Trait_LDA,3,1.6236996338632823,0.0
14,State_LDA,3,1.175440739361553,0.0
15,Joint_LDA,3,1.5652982010547218,0.0
16,Raw,4,1.6161639538899983,0.0
17,Trait_LDA,4,1.6110047509673888,0.0
18,State_LDA,4,0.9485335058349044,0.0
19,Joint_LDA,4,1.3910888089618738,0.0
20,Raw,5,0.9943355990950115,0.0
21,Trait_LDA,5,1.2041920690490275,0.0
22,State_LDA,5,1.0257767509994133,0.0
23,Joint_LDA,5,1.1175373234506238,0.0
24,Raw,6,2.4123514699114237,0.0
25,Trait_LDA,6,1.5952334191682735,0.0
26,State_LDA,6,0.9962972773191632,0.364
27,Joint_LDA,6,1.5458802816582045,0.0
28,Raw,7,1.3958031029870686,0.0
29,Trait_LDA,7,1.604822975003541,0.0
30,State_LDA,7,1.15750521804559,0.0
31,Joint_LDA,7,1.5726255420999717,0.0
32,Raw,8,1.0767391913175144,0.0
33,Trait_LDA,8,1.6289183210826974,0.0
34,State_LDA,8,0.7966101223565945,0.0
35,Joint_LDA,8,1.327756705498156,0.0
36,Raw,9,1.517346709337875,0.0
37,Trait_LDA,9,1.5431087690501675,0.0
38,State_LDA,9,0.9437492811950501,0.0
39,Joint_LDA,9,1.3058770847790353,0.0
