pca_dim,lda_dim,val_bal_acc
5,1,0.002608142493638677
5,2,0.0090754877014419
5,3,0.016136556403731978
5,4,0.025508905852417302
5,5,0.036524597116200166
5,6,0.036524597116200166
5,7,0.036524597116200166
5,8,0.036524597116200166
5,9,0.036524597116200166
5,10,0.036524597116200166
5,11,0.036524597116200166
5,12,0.036524597116200166
5,13,0.036524597116200166
5,14,0.036524597116200166
5,15,0.036524597116200166
5,16,0.036524597116200166
5,17,0.036524597116200166
5,18,0.036524597116200166
5,19,0.036524597116200166
5,20,0.036524597116200166
15,1,0.003975826972010178
15,2,0.006562765055131467
15,3,0.013152035623409669
15,4,0.020382739609838847
15,5,0.033328032230703984
15,6,0.04484732824427481
15,7,0.058640797285835454
15,8,0.0717239185750636
15,9,0.08332273112807465
15,10,0.0986323155216285
15,11,0.11223494486853265
15,12,0.12418363019508057
15,13,0.13110156912637827
15,14,0.14327290076335877
15,15,0.16229325699745548
15,16,0.16229325699745548
15,17,0.16229325699745548
15,18,0.16229325699745548
15,19,0.16229325699745548
15,20,0.16229325699745548
25,1,0.0036100508905852423
25,2,0.006583969465648855
25,3,0.011545801526717558
25,4,0.018426632739609837
25,5,0.027422603901611536
25,6,0.03842769296013571
25,7,0.05156912637828668
25,8,0.06711726039016114
25,9,0.07997773536895673
25,10,0.09125848176420696
25,11,0.10717239185750636
25,12,0.12062128922815946
25,13,0.13266009329940626
25,14,0.1433895250212044
25,15,0.15410305343511446
25,16,0.16874469889737065
25,17,0.17969677692960137
25,18,0.18564461407972857
25,19,0.19200593723494488
25,20,0.1962150127226463
