pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.1025846542763836,0,all
5,2,0.193771495839165,0,all
5,3,0.26110365198711066,0,all
5,4,0.2923695873883844,0,all
5,5,0.3264712104937668,0,all
5,6,0.3264712104937668,0,all
5,7,0.3264712104937668,0,all
5,8,0.3264712104937668,0,all
5,9,0.3264712104937668,0,all
5,10,0.3264712104937668,0,all
5,11,0.3264712104937668,0,all
5,12,0.3264712104937668,0,all
5,13,0.3264712104937668,0,all
5,14,0.3264712104937668,0,all
5,15,0.3264712104937668,0,all
5,16,0.3264712104937668,0,all
5,17,0.3264712104937668,0,all
5,18,0.3264712104937668,0,all
5,19,0.3264712104937668,0,all
5,20,0.3264712104937668,0,all
15,1,0.10331632653061223,0,all
15,2,0.18632647636407032,0,all
15,3,0.24977758248434942,0,all
15,4,0.2974644403215832,0,all
15,5,0.33956794041380506,0,all
15,6,0.36909061072594906,0,all
15,7,0.3950392756783734,0,all
15,8,0.4213744588744588,0,all
15,9,0.4381158524015667,0,all
15,10,0.4350945003200642,0,all
15,11,0.4479058848419751,0,all
15,12,0.44860636439583806,0,all
15,13,0.4489997992817542,0,all
15,14,0.45270440712170035,0,all
15,15,0.4560837971552257,0,all
15,16,0.4560837971552257,0,all
15,17,0.4560837971552257,0,all
15,18,0.4560837971552257,0,all
15,19,0.4560837971552257,0,all
15,20,0.4560837971552257,0,all
25,1,0.10331632653061223,0,all
25,2,0.18632647636407032,0,all
25,3,0.24977758248434942,0,all
25,4,0.2974644403215832,0,all
25,5,0.33956794041380506,0,all
25,6,0.36909061072594906,0,all
25,7,0.3950392756783734,0,all
25,8,0.4213744588744588,0,all
25,9,0.4381158524015667,0,all
25,10,0.4350945003200642,0,all
25,11,0.4479058848419751,0,all
25,12,0.44860636439583806,0,all
25,13,0.4489997992817542,0,all
25,14,0.45270440712170035,0,all
25,15,0.4560837971552257,0,all
25,16,0.4560837971552257,0,all
25,17,0.4560837971552257,0,all
25,18,0.4560837971552257,0,all
25,19,0.4560837971552257,0,all
25,20,0.4560837971552257,0,all
