pca_dim,lda_dim,val_bal_acc
5,1,0.1473867053998633
5,2,0.24524624060150377
5,3,0.30562022480443535
5,4,0.33647573479152426
5,5,0.3626113389534442
5,6,0.3626113389534442
5,7,0.3626113389534442
5,8,0.3626113389534442
5,9,0.3626113389534442
5,10,0.3626113389534442
5,11,0.3626113389534442
5,12,0.3626113389534442
5,13,0.3626113389534442
5,14,0.3626113389534442
5,15,0.3626113389534442
5,16,0.3626113389534442
5,17,0.3626113389534442
5,18,0.3626113389534442
5,19,0.3626113389534442
5,20,0.3626113389534442
15,1,0.14668151439204072
15,2,0.24919057112478166
15,3,0.31656178324599377
15,4,0.3708592124250019
15,5,0.4041682995367205
15,6,0.43960944026733506
15,7,0.4490903394850763
15,8,0.4572616769195717
15,9,0.4660755297334244
15,10,0.47105857446646926
15,11,0.47489919875446196
15,12,0.47344518493202703
15,13,0.4734673995595048
15,14,0.4750413913571808
15,15,0.47556368193210297
15,16,0.47556368193210297
15,17,0.47556368193210297
15,18,0.47556368193210297
15,19,0.47556368193210297
15,20,0.47556368193210297
25,1,0.14668151439204072
25,2,0.24919057112478166
25,3,0.31656178324599377
25,4,0.3708592124250019
25,5,0.4041682995367205
25,6,0.43960944026733506
25,7,0.4490903394850763
25,8,0.4572616769195717
25,9,0.4660755297334244
25,10,0.47105857446646926
25,11,0.47489919875446196
25,12,0.47344518493202703
25,13,0.4734673995595048
25,14,0.4750413913571808
25,15,0.47556368193210297
25,16,0.47556368193210297
25,17,0.47556368193210297
25,18,0.47556368193210297
25,19,0.47556368193210297
25,20,0.47556368193210297
