pca_dim,lda_dim,val_bal_acc
5,1,0.1827248428099821
5,2,0.19619613677372966
5,3,0.2110315601187312
5,4,0.2178566433065272
5,5,0.21918122211465865
5,6,0.21918122211465865
5,7,0.21918122211465865
5,8,0.21918122211465865
5,9,0.21918122211465865
5,10,0.21918122211465865
5,11,0.21918122211465865
5,12,0.21918122211465865
5,13,0.21918122211465865
5,14,0.21918122211465865
5,15,0.21918122211465865
5,16,0.21918122211465865
5,17,0.21918122211465865
5,18,0.21918122211465865
5,19,0.21918122211465865
5,20,0.21918122211465865
15,1,0.19300055596350102
15,2,0.24047535656136665
15,3,0.25528299989842174
15,4,0.2556557237231579
15,5,0.2607538774900423
15,6,0.26131982928277436
15,7,0.2564205652126511
15,8,0.2564205652126511
15,9,0.2564205652126511
15,10,0.2564205652126511
15,11,0.2564205652126511
15,12,0.2564205652126511
15,13,0.2564205652126511
15,14,0.2564205652126511
15,15,0.2564205652126511
15,16,0.2564205652126511
15,17,0.2564205652126511
15,18,0.2564205652126511
15,19,0.2564205652126511
15,20,0.2564205652126511
25,1,0.20094115949911232
25,2,0.25922358687064573
25,3,0.27010384699722934
25,4,0.2639863251894018
25,5,0.2627480853912742
25,6,0.26962846820577085
25,7,0.2650002960253541
25,8,0.2650002960253541
25,9,0.2650002960253541
25,10,0.2650002960253541
25,11,0.2650002960253541
25,12,0.2650002960253541
25,13,0.2650002960253541
25,14,0.2650002960253541
25,15,0.2650002960253541
25,16,0.2650002960253541
25,17,0.2650002960253541
25,18,0.2650002960253541
25,19,0.2650002960253541
25,20,0.2650002960253541
