,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,3.568286609227762,0.44488198366755205,9.344053716048082,1.2130615510673062,2.6182644586644352,0.07761292332620257,0.0,0.0
Raw,4.041189222973372,0.33272245498359493,9.5813918388864,0.15659425752282738,2.3829908605594805,0.16489952422498266,0.0,0.0
State_LDA,1.776638226743982,0.08982119857336965,2.9329821711493187,0.09561772975775013,1.6529140312437012,0.05983719242902137,0.0,0.0
Trait_LDA,4.051547093615854,0.576275385187346,8.117264596660448,1.2127085944796367,2.0025679815181503,0.06164083838661527,0.0,0.0
