,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,3.806922405030721,0.33966256291546026,8.066077162245048,0.6036654041050691,2.1228229593522165,0.09433508926309302,0.0,0.0
Raw,5.302757821272641,0.553295656035698,14.80173047950297,0.4947127526511273,2.8112180991657327,0.2166418329390962,0.0,0.0
State_LDA,1.7933253480347289,0.22474196298876087,2.733276438455772,0.32018973142491575,1.5269504959611107,0.06535187196788199,0.0,0.0
Trait_LDA,6.655658653125625,0.8751513752377688,7.397091184917836,0.7099710382681954,1.116075400583209,0.05278325423847628,0.0,0.0
