,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,,,,,
Joint_LDA,0.0,0.0,0.8733664950526225,0.059698873075993496,0.6656690878529913,0.08386064338719597,0.0,0.0,0.870417537537031,0.062312784787204284,0.6234035389083669,0.11291149893982304
Raw,0.0,0.0,0.9101155396581164,0.03972433372579237,0.6344671769151793,0.06770208474515761,0.0,0.0,0.9089076728548686,0.040404228080314936,0.5991005559576008,0.06823553261989516
State_LDA,0.0,0.0,0.821983703890397,0.08094790862967073,0.7496887082907199,0.08575766789561237,0.0,0.0,0.811609792405976,0.09401995117239803,0.7246619116961288,0.09984430930081936
Trait_LDA,0.0,0.0,0.6050510899607148,0.03185497913790383,0.4702158596753452,0.04338680088499948,0.0,0.0,0.5689523164333049,0.04624602786660238,0.3471046887126811,0.041666001097066224
