,trait_ident_acc,trait_ident_acc,within_state_acc,within_state_acc,between_acc,between_acc,trait_ident_f1,trait_ident_f1,within_state_f1,within_state_f1,between_f1,between_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,,,,,
Joint_LDA,0.0,0.0,0.8535462054913683,0.02370563381586866,0.6289095147400066,0.03762961770216593,0.0,0.0,0.8517425382900731,0.024035459607393894,0.5982569289403825,0.04064268588493757
Raw,0.0,0.0,0.8800658940446203,0.01814036771611394,0.6242532985202249,0.03185238707641582,0.0,0.0,0.8785555727221499,0.018445162856457656,0.596980093514901,0.03030089835754225
State_LDA,0.0,0.0,0.7408291576477573,0.038386104019880934,0.6818091630038741,0.04022738726342921,0.0,0.0,0.7270382349061049,0.04526542462671721,0.6629574178099799,0.04282458128932495
Trait_LDA,0.0,0.0,0.8097423678062292,0.014257298211246631,0.5790338995734036,0.03394798994225599,0.0,0.0,0.8072921636249453,0.014041027079496629,0.5382711983353717,0.035088540185198955
