,Bal_Acc,Bal_Acc,F1,F1,Kappa,Kappa
,mean,std,mean,std,mean,std
space,,,,,,
autoencoder,0.7184375000000001,0.051537767637486555,0.7139036847159308,0.0540630987636856,0.6782142857142858,0.05890030587141323
