,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,5.3839751139621645,,3.1473370908963547,,0.5845749700317936,,0.0,
Raw,4.511435154917078,,8.925146021952257,,1.9783385365130677,,0.0,
State_LDA,2.8946477603823086,,2.531324451046288,,0.8744844487441072,,0.0,
Trait_LDA,4.519544448926108,,8.551673536744481,,1.892153873777356,,0.0,
