,hier_ratio,hier_ratio,inter,inter,intra,intra,hier_pval,hier_pval
,mean,std,mean,std,mean,std,mean,std
space,,,,,,,,
Joint_LDA,4.506262036397171,0.18129315401475246,10.769415500770355,0.3424220900732237,2.3910543357482474,0.0532454455608359,0.0,0.0
Raw,4.479036505121161,0.2553007730274595,8.950752245265885,0.07200331898364491,2.003588910254372,0.1024585824718951,0.0,0.0
State_LDA,2.8050084435750335,0.07910886976182667,2.529674752447934,0.05207103781044397,0.902249547365698,0.022695797807195252,0.0,0.0
Trait_LDA,4.670313503885848,0.19867860034584306,8.761723172028052,0.2501045801219287,1.8774278195646308,0.0486067218594779,0.0,0.0
