pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.007056824692175011,0,all
5,2,0.02235283146907351,0,all
5,3,0.04724793813169609,0,all
5,4,0.07520517198064969,0,all
5,5,0.11404454386142283,0,all
5,6,0.11404454386142283,0,all
5,7,0.11404454386142283,0,all
5,8,0.11404454386142283,0,all
5,9,0.11404454386142283,0,all
5,10,0.11404454386142283,0,all
5,11,0.11404454386142283,0,all
5,12,0.11404454386142283,0,all
5,13,0.11404454386142283,0,all
5,14,0.11404454386142283,0,all
5,15,0.11404454386142283,0,all
5,16,0.11404454386142283,0,all
5,17,0.11404454386142283,0,all
5,18,0.11404454386142283,0,all
5,19,0.11404454386142283,0,all
5,20,0.11404454386142283,0,all
15,1,0.007450854465185675,0,all
15,2,0.021750049019157298,0,all
15,3,0.048578521030750325,0,all
15,4,0.0890369803586364,0,all
15,5,0.13690480020097853,0,all
15,6,0.18535165883892,0,all
15,7,0.2319559333094365,0,all
15,8,0.27679038642414433,0,all
15,9,0.31518238190212716,0,all
15,10,0.35029976363575094,0,all
15,11,0.37776115721975595,0,all
15,12,0.4010072479419613,0,all
15,13,0.4159164437826857,0,all
15,14,0.4267928948263342,0,all
15,15,0.4395825099646755,0,all
15,16,0.4395825099646755,0,all
15,17,0.4395825099646755,0,all
15,18,0.4395825099646755,0,all
15,19,0.4395825099646755,0,all
15,20,0.4395825099646755,0,all
25,1,0.006455037943891448,0,all
25,2,0.020923942181903965,0,all
25,3,0.04952123984767296,0,all
25,4,0.09173852951719193,0,all
25,5,0.14033784539357785,0,all
25,6,0.18693513080455756,0,all
25,7,0.23593443151564172,0,all
25,8,0.2780973405575316,0,all
25,9,0.31554217485746144,0,all
25,10,0.35889871952770047,0,all
25,11,0.38768770890586174,0,all
25,12,0.4098528697652902,0,all
25,13,0.4369876349175712,0,all
25,14,0.4536096864918521,0,all
25,15,0.45998416834404104,0,all
25,16,0.4742582980242216,0,all
25,17,0.48566159012018884,0,all
25,18,0.4915120265438737,0,all
25,19,0.5033739924265404,0,all
25,20,0.5143364184765459,0,all
